['515', 'Armitage', '1', '20210504 15:43:32']
['519', 'Chicago', '1', '20210504 15:44:29']
['520', 'Armitage', '5', '20210504 15:44:39']
['507', 'Davis', '5', '20210504 15:45:34']
['513', 'Noyes', '1', '20210504 15:45:07']
['518', 'State/Lake', '5', '20210504 15:45:33']
['507', 'Davis', '5', '20210504 15:46:22']
['515', 'Diversey', '1', '20210504 15:46:32']
['518', 'State/Lake', '5', '20210504 15:45:41']
['507', 'Davis', '5', '20210504 15:47:23']
['513', 'Linden', '1', '20210504 15:47:16']
['515', 'Diversey', '1', '20210504 15:47:27']
['519', 'Sedgwick', '1', '20210504 15:47:34']
['520', 'Sedgwick', '5', '20210504 15:47:29']
['507', 'Davis', '5', '20210504 15:48:30']
['513', 'Linden', '1', '20210504 15:48:30']
['514', 'Wilson', '1', '20210504 15:48:38']
['515', 'Wellington', '1', '20210504 15:48:35']
['518', 'Adams/Wabash', '5', '20210504 15:48:35']
['519', 'Sedgwick', '1', '20210504 15:48:37']
['507', 'Dempster', '5', '20210504 15:48:53']
['513', 'Linden', '1', '20210504 15:49:25']
['515', 'Belmont', '1', '20210504 15:49:19']
['518', 'Adams/Wabash', '5', '20210504 15:49:03']
['522', 'Diversey', '5', '20210504 15:49:24']
['523', 'Wilson', '5', '20210504 15:49:33']
['507', 'Main', '5', '20210504 15:50:29']
['518', 'Harold Washington Library-State/Van Buren', '5', '20210504 15:50:34']
['520', 'Chicago', '5', '20210504 15:50:34']
['507', 'Main', '5', '20210504 15:51:32']
['518', 'LaSalle/Van Buren', '5', '20210504 15:51:25']
['519', 'Armitage', '1', '20210504 15:51:19']
['520', 'Chicago', '5', '20210504 15:51:23']
['522', 'Fullerton', '5', '20210504 15:51:35']
['507', 'South Boulevard', '5', '20210504 15:52:28']
['518', 'LaSalle/Van Buren', '5', '20210504 15:52:40']
['519', 'Armitage', '1', '20210504 15:52:37']
['523', 'Sheridan', '5', '20210504 15:52:05']
['507', 'Howard', '5', '20210504 15:53:10']
['509', 'Central', '5', '20210504 15:53:20']
['518', 'Quincy', '5', '20210504 15:53:36']
['520', 'Merchandise Mart', '5', '20210504 15:53:31']
['522', 'Armitage', '5', '20210504 15:53:39']
['523', 'Sheridan', '5', '20210504 15:53:37']
['509', 'Central', '5', '20210504 15:54:14']
['518', 'Washington/Wells', '5', '20210504 15:54:27']
['518', 'Washington/Wells', '5', '20210504 15:55:38']
['519', 'Diversey', '1', '20210504 15:55:34']
['520', 'Clark/Lake', '5', '20210504 15:55:38']
['509', 'Davis', '5', '20210504 15:56:24']
['518', 'Merchandise Mart', '1', '20210504 15:56:30']
['519', 'Diversey', '1', '20210504 15:56:34']
['520', 'State/Lake', '5', '20210504 15:56:02']
['509', 'Davis', '5', '20210504 15:57:33']
['518', 'Merchandise Mart', '1', '20210504 15:57:37']
['522', 'Sedgwick', '5', '20210504 15:57:33']
['509', 'Davis', '5', '20210504 15:58:10']
['519', 'Belmont', '1', '20210504 15:58:33']
['520', 'Adams/Wabash', '5', '20210504 15:58:38']
['509', 'Dempster', '5', '20210504 15:59:39']
['518', 'Chicago', '1', '20210504 15:59:28']
['522', 'Chicago', '5', '20210504 15:59:37']
['523', 'Wellington', '5', '20210504 15:58:58']
['509', 'Dempster', '5', '20210504 15:59:39']
['520', 'Harold Washington Library-State/Van Buren', '5', '20210504 16:00:24']
['522', 'Chicago', '5', '20210504 16:00:15']
['523', 'Diversey', '5', '20210504 16:00:28']
['507', 'Wilson', '5', '20210504 16:01:37']
['509', 'Main', '5', '20210504 16:01:06']
['514', 'South Boulevard', '1', '20210504 16:01:20']
['520', 'Harold Washington Library-State/Van Buren', '5', '20210504 16:01:32']
['523', 'Diversey', '5', '20210504 16:01:36']
['509', 'South Boulevard', '5', '20210504 16:02:24']
['514', 'Main', '1', '20210504 16:01:54']
['518', 'Sedgwick', '1', '20210504 16:02:33']
['520', 'LaSalle/Van Buren', '5', '20210504 16:02:07']
['522', 'Merchandise Mart', '5', '20210504 16:02:24']
['523', 'Fullerton', '5', '20210504 16:02:09']
['509', 'Howard', '5', '20210504 16:03:40']
['514', 'Dempster', '1', '20210504 16:03:25']
['517', 'Central', '5', '20210504 16:03:22']
['518', 'Sedgwick', '1', '20210504 16:03:39']
['520', 'Quincy', '5', '20210504 16:03:39']
['507', 'Sheridan', '5', '20210504 16:04:31']
['509', 'Howard', '5', '20210504 16:03:40']
['514', 'Dempster', '1', '20210504 16:04:24']
['517', 'Central', '5', '20210504 16:04:16']
['520', 'Quincy', '5', '20210504 16:04:38']
['523', 'Armitage', '5', '20210504 16:04:40']
['507', 'Sheridan', '5', '20210504 16:04:31']
['519', 'Wilson', '1', '20210504 16:05:36']
['520', 'Washington/Wells', '5', '20210504 16:05:30']
['522', 'State/Lake', '5', '20210504 16:05:35']
['517', 'Davis', '5', '20210504 16:06:39']
['518', 'Armitage', '1', '20210504 16:06:26']
['514', 'Noyes', '1', '20210504 16:07:38']
['515', 'Main', '1', '20210504 16:07:34']
['517', 'Davis', '5', '20210504 16:06:39']
['518', 'Armitage', '1', '20210504 16:07:33']
['520', 'Merchandise Mart', '1', '20210504 16:07:11']
['522', 'Adams/Wabash', '5', '20210504 16:07:35']
['515', 'Main', '1', '20210504 16:08:37']
['517', 'Davis', '5', '20210504 16:08:30']
['520', 'Merchandise Mart', '1', '20210504 16:08:39']
['522', 'Adams/Wabash', '5', '20210504 16:08:37']
['523', 'Sedgwick', '5', '20210504 16:08:38']
['507', 'Belmont', '5', '20210504 16:09:37']
['514', 'Central', '1', '20210504 16:09:26']
['515', 'Dempster', '1', '20210504 16:09:04']
['517', 'Davis', '5', '20210504 16:09:39']
['518', 'Fullerton', '1', '20210504 16:09:21']
['522', 'Harold Washington Library-State/Van Buren', '5', '20210504 16:09:39']
['507', 'Belmont', '5', '20210504 16:10:28']
['514', 'Linden', '1', '20210504 16:09:53']
['517', 'Dempster', '5', '20210504 16:10:04']
['520', 'Chicago', '1', '20210504 16:10:35']
['522', 'LaSalle/Van Buren', '5', '20210504 16:10:26']
['507', 'Wellington', '5', '20210504 16:11:17']
['509', 'Wilson', '5', '20210504 16:11:37']
['514', 'Linden', '1', '20210504 16:11:11']
['515', 'Davis', '1', '20210504 16:11:29']
['517', 'Main', '5', '20210504 16:11:37']
['518', 'Diversey', '1', '20210504 16:11:31']
['520', 'Chicago', '1', '20210504 16:11:36']
['522', 'Quincy', '5', '20210504 16:11:25']
['523', 'Chicago', '5', '20210504 16:11:28']
['507', 'Diversey', '5', '20210504 16:12:33']
['509', 'Wilson', '5', '20210504 16:12:36']
['517', 'Main', '5', '20210504 16:11:37']
['522', 'Quincy', '5', '20210504 16:12:35']
['507', 'Diversey', '5', '20210504 16:13:01']
['515', 'Noyes', '1', '20210504 16:13:24']
