['522', 'Howard', '5', '20210503 15:33:10']
['523', 'Central', '5', '20210503 15:32:52']
['514', 'Diversey', '1', '20210503 15:34:39']
['519', 'Adams/Wabash', '5', '20210503 15:34:39']
['514', 'Diversey', '1', '20210503 15:35:38']
['518', 'Sedgwick', '5', '20210503 15:35:36']
['519', 'Adams/Wabash', '5', '20210503 15:35:12']
['523', 'Noyes', '5', '20210503 15:35:14']
['514', 'Wellington', '1', '20210503 15:36:01']
['518', 'Sedgwick', '5', '20210503 15:36:31']
['519', 'Harold Washington Library-State/Van Buren', '5', '20210503 15:36:33']
['523', 'Davis', '5', '20210503 15:36:16']
['514', 'Wellington', '1', '20210503 15:37:38']
['515', 'Armitage', '1', '20210503 15:37:31']
['519', 'Harold Washington Library-State/Van Buren', '5', '20210503 15:36:54']
['520', 'Belmont', '5', '20210503 15:37:29']
['523', 'Davis', '5', '20210503 15:36:57']
['519', 'LaSalle/Van Buren', '5', '20210503 15:38:17']
['520', 'Belmont', '5', '20210503 15:38:37']
['523', 'Dempster', '5', '20210503 15:38:24']
['515', 'Fullerton', '1', '20210503 15:39:30']
['518', 'Chicago', '5', '20210503 15:39:26']
['519', 'LaSalle/Van Buren', '5', '20210503 15:39:10']
['520', 'Wellington', '5', '20210503 15:39:04']
['523', 'Dempster', '5', '20210503 15:38:24']
['513', 'South Boulevard', '1', '20210503 15:40:25']
['519', 'Quincy', '5', '20210503 15:40:29']
['520', 'Diversey', '5', '20210503 15:40:31']
['523', 'Main', '5', '20210503 15:39:52']
['515', 'Diversey', '1', '20210503 15:41:37']
['518', 'Merchandise Mart', '5', '20210503 15:41:31']
['519', 'Washington/Wells', '5', '20210503 15:41:37']
['520', 'Diversey', '5', '20210503 15:41:24']
['523', 'South Boulevard', '5', '20210503 15:41:14']
['513', 'Dempster', '1', '20210503 15:42:22']
['519', 'Washington/Wells', '5', '20210503 15:42:38']
['520', 'Fullerton', '5', '20210503 15:42:32']
['522', 'Wilson', '5', '20210503 15:42:33']
['523', 'Howard', '5', '20210503 15:42:25']
['507', 'Central', '5', '20210503 15:43:24']
['513', 'Dempster', '1', '20210503 15:43:18']
['515', 'Belmont', '1', '20210503 15:43:33']
['523', 'Howard', '5', '20210503 15:43:38']
['507', 'Central', '5', '20210503 15:44:04']
['513', 'Davis', '1', '20210503 15:44:36']
['518', 'Clark/Lake', '5', '20210503 15:43:48']
['519', 'Merchandise Mart', '1', '20210503 15:44:18']
['520', 'Armitage', '5', '20210503 15:44:34']
['522', 'Sheridan', '5', '20210503 15:44:33']
['518', 'State/Lake', '5', '20210503 15:45:36']
['522', 'Sheridan', '5', '20210503 15:44:33']
['507', 'Davis', '5', '20210503 15:46:49']
['513', 'Noyes', '1', '20210503 15:46:14']
['519', 'Chicago', '1', '20210503 15:46:34']
['507', 'Davis', '5', '20210503 15:47:27']
['518', 'Washington/Wabash', '5', '20210503 15:47:35']
['520', 'Sedgwick', '5', '20210503 15:47:18']
['507', 'Davis', '5', '20210503 15:48:05']
['518', 'Adams/Wabash', '5', '20210503 15:48:12']
['507', 'Dempster', '5', '20210503 15:49:33']
['513', 'Linden', '1', '20210503 15:49:32']
['518', 'Harold Washington Library-State/Van Buren', '5', '20210503 15:49:53']
['519', 'Sedgwick', '1', '20210503 15:49:55']
['522', 'Belmont', '5', '20210503 15:49:36']
['507', 'Dempster', '5', '20210503 15:49:33']
['513', 'Linden', '1', '20210503 15:50:27']
['518', 'LaSalle/Van Buren', '5', '20210503 15:50:26']
['519', 'Sedgwick', '1', '20210503 15:50:35']
['520', 'Chicago', '5', '20210503 15:50:27']
['522', 'Belmont', '5', '20210503 15:50:35']
['507', 'Main', '5', '20210503 15:51:06']
['518', 'LaSalle/Van Buren', '5', '20210503 15:51:38']
['520', 'Chicago', '5', '20210503 15:51:19']
['522', 'Wellington', '5', '20210503 15:51:23']
['523', 'Wilson', '5', '20210503 15:51:29']
['507', 'South Boulevard', '5', '20210503 15:52:31']
['518', 'Quincy', '5', '20210503 15:52:17']
['520', 'Merchandise Mart', '5', '20210503 15:52:37']
['522', 'Diversey', '5', '20210503 15:52:31']
['523', 'Wilson', '5', '20210503 15:52:29']
['507', 'South Boulevard', '5', '20210503 15:53:03']
['509', 'Central', '5', '20210503 15:53:14']
['518', 'Washington/Wells', '5', '20210503 15:53:23']
['519', 'Armitage', '1', '20210503 15:53:28']
['520', 'Merchandise Mart', '5', '20210503 15:53:23']
['522', 'Diversey', '5', '20210503 15:52:58']
['523', 'Sheridan', '5', '20210503 15:53:34']
['507', 'Howard', '5', '20210503 15:53:45']
['509', 'Central', '5', '20210503 15:54:10']
['523', 'Sheridan', '5', '20210503 15:53:42']
['519', 'Fullerton', '1', '20210503 15:55:36']
['520', 'State/Lake', '5', '20210503 15:55:29']
['522', 'Fullerton', '5', '20210503 15:55:33']
['509', 'Davis', '5', '20210503 15:56:21']
['514', 'South Boulevard', '1', '20210503 15:56:38']
['520', 'State/Lake', '5', '20210503 15:56:33']
['509', 'Davis', '5', '20210503 15:57:25']
['518', 'Merchandise Mart', '1', '20210503 15:57:22']
['519', 'Diversey', '1', '20210503 15:57:29']
['520', 'Washington/Wabash', '5', '20210503 15:57:35']
['522', 'Armitage', '5', '20210503 15:57:35']
['509', 'Davis', '5', '20210503 15:58:00']
['514', 'Dempster', '1', '20210503 15:58:13']
['519', 'Wellington', '1', '20210503 15:58:38']
['520', 'Adams/Wabash', '5', '20210503 15:58:29']
['509', 'Dempster', '5', '20210503 15:59:27']
['514', 'Davis', '1', '20210503 15:59:37']
['518', 'Chicago', '1', '20210503 15:59:37']
['519', 'Wellington', '1', '20210503 15:59:26']
['523', 'Belmont', '5', '20210503 15:59:32']
['509', 'Dempster', '5', '20210503 15:59:27']
['514', 'Davis', '1', '20210503 16:00:39']
['519', 'Belmont', '1', '20210503 16:00:10']
['520', 'LaSalle/Van Buren', '5', '20210503 16:00:36']
['523', 'Wellington', '5', '20210503 16:00:22']
['509', 'Main', '5', '20210503 16:00:54']
['515', 'Main', '1', '20210503 16:01:39']
['520', 'LaSalle/Van Buren', '5', '20210503 16:01:40']
['522', 'Sedgwick', '5', '20210503 16:01:32']
['523', 'Diversey', '5', '20210503 16:01:37']
['507', 'Wilson', '5', '20210503 16:02:35']
['509', 'South Boulevard', '5', '20210503 16:02:17']
['514', 'Foster', '1', '20210503 16:02:29']
['515', 'Main', '1', '20210503 16:01:39']
['518', 'Sedgwick', '1', '20210503 16:02:34']
['520', 'Quincy', '5', '20210503 16:02:11']
['523', 'Diversey', '5', '20210503 16:02:37']
['509', 'Howard', '5', '20210503 16:03:33']
['514', 'Noyes', '1', '20210503 16:02:51']
['515', 'Dempster', '1', '20210503 16:03:07']
['517', 'Central', '5', '20210503 16:02:58']
['518', 'Sedgwick', '1', '20210503 16:03:33']
['520', 'Washington/Wells', '5', '20210503 16:03:19']
['522', 'Chicago', '5', '20210503 16:03:40']
['507', 'Sheridan', '5', '20210503 16:04:29']
['514', 'Central', '1', '20210503 16:04:36']
['517', 'Central', '5', '20210503 16:03:55']
['522', 'Chicago', '5', '20210503 16:04:38']
['507', 'Sheridan', '5', '20210503 16:04:29']
['520', 'Merchandise Mart', '1', '20210503 16:05:20']
['523', 'Armitage', '5', '20210503 16:05:38']
['514', 'Linden', '1', '20210503 16:06:20']
['517', 'Davis', '5', '20210503 16:06:37']
['522', 'Merchandise Mart', '5', '20210503 16:06:18']
['514', 'Linden', '1', '20210503 16:07:19']
['515', 'Noyes', '1', '20210503 16:07:11']
['517', 'Davis', '5', '20210503 16:07:19']
['518', 'Armitage', '1', '20210503 16:07:32']
['520', 'Chicago', '1', '20210503 16:07:35']
['517', 'Davis', '5', '20210503 16:08:00']
['522', 'Clark/Lake', '5', '20210503 16:08:31']
['523', 'Sedgwick', '5', '20210503 16:08:24']
['517', 'Dempster', '5', '20210503 16:09:38']
['522', 'State/Lake', '5', '20210503 16:09:20']
['507', 'Belmont', '5', '20210503 16:10:31']
['517', 'Dempster', '5', '20210503 16:09:38']
['518', 'Diversey', '1', '20210503 16:10:36']
['520', 'Sedgwick', '1', '20210503 16:10:38']
['507', 'Wellington', '5', '20210503 16:11:29']
['515', 'Linden', '1', '20210503 16:10:47']
['517', 'Main', '5', '20210503 16:11:13']
['518', 'Diversey', '1', '20210503 16:11:30']
['520', 'Sedgwick', '1', '20210503 16:11:27']
['522', 'Adams/Wabash', '5', '20210503 16:11:35']
['523', 'Chicago', '5', '20210503 16:11:35']
['507', 'Diversey', '5', '20210503 16:12:20']
['509', 'Wilson', '5', '20210503 16:12:30']
['517', 'South Boulevard', '5', '20210503 16:12:37']
['518', 'Wellington', '1', '20210503 16:11:54']
['521', 'Central', '5', '20210503 16:12:33']
['522', 'Adams/Wabash', '5', '20210503 16:12:36']
['523', 'Chicago', '5', '20210503 16:12:26']
['517', 'South Boulevard', '5', '20210503 16:13:08']
['518', 'Belmont', '1', '20210503 16:13:38']
['522', 'Harold Washington Library-State/Van Buren', '5', '20210503 16:13:37']
['507', 'Fullerton', '5', '20210503 16:14:36']
['509', 'Sheridan', '5', '20210503 16:13:59']
['517', 'Howard', '5', '20210503 16:13:56']
['520', 'Armitage', '1', '20210503 16:14:30']
['522', 'LaSalle/Van Buren', '5', '20210503 16:14:32']
['523', 'Merchandise Mart', '5', '20210503 16:14:37']
['507', 'Armitage', '5', '20210503 16:15:38']
['509', 'Sheridan', '5', '20210503 16:15:25']
['521', 'Davis', '5', '20210503 16:15:36']
['520', 'Fullerton', '1', '20210503 16:16:39']
['521', 'Davis', '5', '20210503 16:16:10']
['522', 'Quincy', '5', '20210503 16:16:34']
['523', 'Clark/Lake', '5', '20210503 16:16:39']
['521', 'Davis', '5', '20210503 16:16:52']
['522', 'Washington/Wells', '5', '20210503 16:17:39']
['523', 'State/Lake', '5', '20210503 16:17:21']
['509', 'Belmont', '5', '20210503 16:18:34']
['519', 'South Boulevard', '1', '20210503 16:18:35']
['520', 'Diversey', '1', '20210503 16:18:28']
['521', 'Dempster', '5', '20210503 16:18:25']
['523', 'State/Lake', '5', '20210503 16:18:26']
['507', 'Sedgwick', '5', '20210503 16:19:33']
['509', 'Belmont', '5', '20210503 16:18:34']
['519', 'Main', '1', '20210503 16:19:06']
['520', 'Wellington', '1', '20210503 16:19:14']
['521', 'Dempster', '5', '20210503 16:18:25']
['522', 'Merchandise Mart', '1', '20210503 16:19:37']
['523', 'Washington/Wabash', '5', '20210503 16:19:30']
['509', 'Belmont', '5', '20210503 16:20:29']
['513', 'Central', '5', '20210503 16:19:54']
['519', 'Dempster', '1', '20210503 16:20:32']
['520', 'Wellington', '1', '20210503 16:20:38']
['521', 'Main', '5', '20210503 16:19:53']
['523', 'Adams/Wabash', '5', '20210503 16:20:17']
['507', 'Chicago', '5', '20210503 16:21:38']
['509', 'Wellington', '5', '20210503 16:21:18']
['518', 'Wilson', '1', '20210503 16:21:20']
['519', 'Dempster', '1', '20210503 16:21:31']
['521', 'South Boulevard', '5', '20210503 16:21:16']
['522', 'Chicago', '1', '20210503 16:21:28']
['507', 'Chicago', '5', '20210503 16:22:24']
['509', 'Wellington', '5', '20210503 16:22:26']
['517', 'Wilson', '5', '20210503 16:22:36']
['521', 'Howard', '5', '20210503 16:22:27']
['523', 'LaSalle/Van Buren', '5', '20210503 16:22:32']
['509', 'Diversey', '5', '20210503 16:23:17']
['513', 'Davis', '5', '20210503 16:23:15']
['521', 'Howard', '5', '20210503 16:23:37']
['523', 'LaSalle/Van Buren', '5', '20210503 16:23:37']
['507', 'Merchandise Mart', '5', '20210503 16:24:30']
['513', 'Davis', '5', '20210503 16:24:22']
['519', 'Foster', '1', '20210503 16:24:24']
['522', 'Sedgwick', '1', '20210503 16:24:34']
['523', 'Quincy', '5', '20210503 16:24:33']
['513', 'Davis', '5', '20210503 16:24:56']
['517', 'Sheridan', '5', '20210503 16:25:23']
['519', 'Noyes', '1', '20210503 16:24:49']
['522', 'Sedgwick', '1', '20210503 16:25:38']
['523', 'Washington/Wells', '5', '20210503 16:25:39']
['509', 'Armitage', '5', '20210503 16:26:34']
['513', 'Dempster', '5', '20210503 16:26:23']
['517', 'Sheridan', '5', '20210503 16:25:23']
['507', 'State/Lake', '5', '20210503 16:27:30']
['512', 'Central', '5', '20210503 16:27:27']
['513', 'Dempster', '5', '20210503 16:26:23']
['520', 'Wilson', '1', '20210503 16:27:27']
['507', 'State/Lake', '5', '20210503 16:28:30']
['512', 'Central', '5', '20210503 16:28:15']
['513', 'Main', '5', '20210503 16:27:52']
['519', 'Linden', '1', '20210503 16:28:29']
['522', 'Armitage', '1', '20210503 16:28:40']
['507', 'Washington/Wabash', '5', '20210503 16:29:30']
['513', 'South Boulevard', '5', '20210503 16:29:39']
['519', 'Linden', '1', '20210503 16:29:25']
['522', 'Armitage', '1', '20210503 16:29:34']
['523', 'Chicago', '1', '20210503 16:29:38']
['507', 'Adams/Wabash', '5', '20210503 16:30:14']
['509', 'Sedgwick', '5', '20210503 16:30:37']
['512', 'Davis', '5', '20210503 16:30:36']
['513', 'Howard', '5', '20210503 16:30:16']
['517', 'Belmont', '5', '20210503 16:30:33']
['521', 'Wilson', '5', '20210503 16:30:38']
['522', 'Fullerton', '1', '20210503 16:30:37']
['523', 'Chicago', '1', '20210503 16:30:34']
['512', 'Davis', '5', '20210503 16:31:38']
['517', 'Belmont', '5', '20210503 16:30:33']
['507', 'Harold Washington Library-State/Van Buren', '5', '20210503 16:32:12']
['512', 'Davis', '5', '20210503 16:31:38']
['517', 'Wellington', '5', '20210503 16:32:34']
['522', 'Diversey', '1', '20210503 16:32:39']
['507', 'LaSalle/Van Buren', '5', '20210503 16:33:10']
['509', 'Chicago', '5', '20210503 16:33:27']
['512', 'Davis', '5', '20210503 16:33:28']
['517', 'Wellington', '5', '20210503 16:33:23']
['518', 'Main', '1', '20210503 16:33:27']
['521', 'Sheridan', '5', '20210503 16:33:10']
['522', 'Diversey', '1', '20210503 16:33:27']
['523', 'Sedgwick', '1', '20210503 16:33:38']
['507', 'LaSalle/Van Buren', '5', '20210503 16:34:06']
['512', 'Dempster', '5', '20210503 16:33:47']
['517', 'Diversey', '5', '20210503 16:34:18']
['518', 'Main', '1', '20210503 16:34:29']
['521', 'Sheridan', '5', '20210503 16:34:36']
['522', 'Wellington', '1', '20210503 16:34:38']
['507', 'Quincy', '5', '20210503 16:35:09']
['509', 'Merchandise Mart', '5', '20210503 16:35:29']
['512', 'Main', '5', '20210503 16:35:16']
['514', 'Central', '5', '20210503 16:35:33']
['518', 'Dempster', '1', '20210503 16:34:53']
['522', 'Belmont', '1', '20210503 16:35:23']
['507', 'Washington/Wells', '5', '20210503 16:36:33']
['512', 'South Boulevard', '5', '20210503 16:36:38']
['514', 'Central', '5', '20210503 16:36:21']
['517', 'Fullerton', '5', '20210503 16:36:34']
['523', 'Armitage', '1', '20210503 16:36:18']
['507', 'Washington/Wells', '5', '20210503 16:36:55']
['512', 'South Boulevard', '5', '20210503 16:37:09']
['520', 'South Boulevard', '1', '20210503 16:37:37']
['523', 'Armitage', '1', '20210503 16:37:39']
['507', 'Washington/Wells', '5', '20210503 16:36:55']
['509', 'State/Lake', '5', '20210503 16:38:34']
['512', 'Howard', '5', '20210503 16:37:50']
['517', 'Armitage', '5', '20210503 16:38:34']
['518', 'Foster', '1', '20210503 16:38:36']
['520', 'Main', '1', '20210503 16:38:18']
['523', 'Fullerton', '1', '20210503 16:38:39']
['507', 'Washington/Wells', '5', '20210503 16:36:55']
['509', 'State/Lake', '5', '20210503 16:39:38']
['513', 'Wilson', '5', '20210503 16:39:39']
['514', 'Davis', '5', '20210503 16:39:33']
['518', 'Noyes', '1', '20210503 16:39:01']
['520', 'Main', '1', '20210503 16:39:19']
['521', 'Wellington', '5', '20210503 16:39:32']
['509', 'Washington/Wabash', '5', '20210503 16:40:34']
['514', 'Davis', '5', '20210503 16:40:37']
['520', 'Dempster', '1', '20210503 16:39:44']
['521', 'Diversey', '5', '20210503 16:40:37']
['523', 'Diversey', '1', '20210503 16:40:34']
['507', 'Merchandise Mart', '1', '20210503 16:41:37']
['509', 'Adams/Wabash', '5', '20210503 16:41:19']
['513', 'Sheridan', '5', '20210503 16:41:33']
['514', 'Davis', '5', '20210503 16:40:37']
['517', 'Sedgwick', '5', '20210503 16:41:37']
['521', 'Diversey', '5', '20210503 16:41:35']
['523', 'Diversey', '1', '20210503 16:41:21']
['513', 'Sheridan', '5', '20210503 16:41:33']
['514', 'Dempster', '5', '20210503 16:42:08']
['518', 'Linden', '1', '20210503 16:42:30']
