['503', 'Diversey', '1', '20210510 06:28:19']
['508', 'Main', '5', '20210510 06:28:36']
['510', 'Linden', '1', '20210510 06:28:17']
['501', 'Quincy', '5', '20210510 06:29:38']
['503', 'Wellington', '1', '20210510 06:29:18']
['504', 'Merchandise Mart', '5', '20210510 06:29:35']
['508', 'Main', '5', '20210510 06:28:36']
['501', 'Washington/Wells', '5', '20210510 06:30:37']
['503', 'Belmont', '1', '20210510 06:30:34']
['506', 'Belmont', '5', '20210510 06:30:38']
['508', 'Main', '5', '20210510 06:28:36']
['506', 'Wellington', '5', '20210510 06:31:37']
['508', 'Howard', '5', '20210510 06:31:15']
['504', 'Clark/Lake', '5', '20210510 06:31:51']
['506', 'Diversey', '5', '20210510 06:32:29']
['504', 'Clark/Lake', '5', '20210510 06:31:51']
['504', 'State/Lake', '5', '20210510 06:34:14']
['506', 'Fullerton', '5', '20210510 06:34:38']
['509', 'Central', '5', '20210510 06:34:29']
['501', 'Chicago', '1', '20210510 06:35:13']
['509', 'Central', '5', '20210510 06:35:17']
['502', 'South Boulevard', '1', '20210510 06:35:45']
['504', 'Adams/Wabash', '5', '20210510 06:36:38']
['502', 'South Boulevard', '1', '20210510 06:37:38']
['503', 'Wilson', '1', '20210510 06:37:36']
['504', 'Adams/Wabash', '5', '20210510 06:37:36']
['509', 'Davis', '5', '20210510 06:37:35']
['501', 'Sedgwick', '1', '20210510 06:38:34']
['502', 'Main', '1', '20210510 06:37:48']
['504', 'Harold Washington Library-State/Van Buren', '5', '20210510 06:38:33']
['509', 'Davis', '5', '20210510 06:38:31']
['504', 'LaSalle/Van Buren', '5', '20210510 06:39:22']
['506', 'Sedgwick', '5', '20210510 06:39:09']
['508', 'Wilson', '5', '20210510 06:39:39']
['509', 'Davis', '5', '20210510 06:39:37']
['502', 'Dempster', '1', '20210510 06:40:22']
['504', 'LaSalle/Van Buren', '5', '20210510 06:40:02']
['508', 'Wilson', '5', '20210510 06:40:39']
['509', 'Davis', '5', '20210510 06:39:37']
['504', 'Quincy', '5', '20210510 06:41:39']
['509', 'Dempster', '5', '20210510 06:41:01']
['501', 'Armitage', '1', '20210510 06:42:35']
['504', 'Washington/Wells', '5', '20210510 06:42:27']
['506', 'Chicago', '5', '20210510 06:42:39']
['508', 'Sheridan', '5', '20210510 06:42:19']
['509', 'Main', '5', '20210510 06:42:39']
['502', 'Foster', '1', '20210510 06:43:21']
['504', 'Washington/Wells', '5', '20210510 06:43:36']
['508', 'Sheridan', '5', '20210510 06:43:23']
['509', 'Main', '5', '20210510 06:42:39']
['501', 'Fullerton', '1', '20210510 06:44:36']
['502', 'Noyes', '1', '20210510 06:43:43']
['506', 'Merchandise Mart', '5', '20210510 06:44:35']
['509', 'South Boulevard', '5', '20210510 06:44:08']
['502', 'Central', '1', '20210510 06:45:35']
['504', 'Merchandise Mart', '1', '20210510 06:45:38']
['506', 'Merchandise Mart', '5', '20210510 06:45:18']
['508', 'Belmont', '5', '20210510 06:45:24']
['509', 'Howard', '5', '20210510 06:45:25']
['501', 'Diversey', '1', '20210510 06:46:26']
['502', 'Linden', '1', '20210510 06:46:18']
['508', 'Wellington', '5', '20210510 06:46:21']
['509', 'Howard', '5', '20210510 06:45:25']
['501', 'Wellington', '1', '20210510 06:47:21']
['502', 'Linden', '1', '20210510 06:47:34']
['504', 'Chicago', '1', '20210510 06:47:25']
['506', 'Clark/Lake', '5', '20210510 06:47:00']
['508', 'Diversey', '5', '20210510 06:47:32']
['510', 'Central', '5', '20210510 06:47:23']
['501', 'Wellington', '1', '20210510 06:48:37']
['502', 'Linden', '1', '20210510 06:48:29']
['506', 'Clark/Lake', '5', '20210510 06:48:37']
['508', 'Diversey', '5', '20210510 06:48:37']
['510', 'Central', '5', '20210510 06:48:15']
['501', 'Belmont', '1', '20210510 06:49:38']
['506', 'State/Lake', '5', '20210510 06:49:14']
['504', 'Sedgwick', '1', '20210510 06:50:34']
['510', 'Davis', '5', '20210510 06:50:32']
['513', 'Main', '1', '20210510 06:50:22']
['504', 'Sedgwick', '1', '20210510 06:51:39']
['506', 'Adams/Wabash', '5', '20210510 06:51:32']
['508', 'Armitage', '5', '20210510 06:51:34']
['510', 'Davis', '5', '20210510 06:51:23']
['513', 'Main', '1', '20210510 06:51:17']
['503', 'Dempster', '1', '20210510 06:52:38']
['506', 'Adams/Wabash', '5', '20210510 06:52:35']
['510', 'Davis', '5', '20210510 06:52:23']
['513', 'South Boulevard', '1', '20210510 06:52:38']
['506', 'Harold Washington Library-State/Van Buren', '5', '20210510 06:53:35']
['509', 'Wilson', '5', '20210510 06:53:39']
