['518', 'Wellington', '5', '20210505 18:27:38']
['521', 'Central', '5', '20210505 18:27:02']
['522', 'Sedgwick', '1', '20210505 18:27:38']
['523', 'Washington/Wells', '5', '20210505 18:27:15']
['516', 'Harold Washington Library-State/Van Buren', '5', '20210505 18:28:31']
['518', 'Diversey', '5', '20210505 18:28:31']
['515', 'Linden', '1', '20210505 18:29:21']
['516', 'LaSalle/Van Buren', '5', '20210505 18:29:23']
['517', 'Wilson', '5', '20210505 18:29:32']
['521', 'Davis', '5', '20210505 18:29:14']
['523', 'Merchandise Mart', '1', '20210505 18:29:09']
['516', 'Quincy', '5', '20210505 18:30:19']
['518', 'Fullerton', '5', '20210505 18:30:40']
['521', 'Davis', '5', '20210505 18:30:15']
['522', 'Armitage', '1', '20210505 18:30:16']
['523', 'Merchandise Mart', '1', '20210505 18:30:37']
['516', 'Washington/Wells', '5', '20210505 18:31:36']
['518', 'Armitage', '5', '20210505 18:31:37']
['521', 'Davis', '5', '20210505 18:30:58']
['522', 'Armitage', '1', '20210505 18:31:26']
['517', 'Sheridan', '5', '20210505 18:32:19']
['523', 'Chicago', '1', '20210505 18:32:25']
['516', 'Merchandise Mart', '1', '20210505 18:33:34']
['517', 'Sheridan', '5', '20210505 18:32:19']
['520', 'Wilson', '1', '20210505 18:33:37']
['522', 'Fullerton', '1', '20210505 18:33:21']
['521', 'Main', '5', '20210505 18:33:58']
['516', 'Chicago', '1', '20210505 18:35:31']
['518', 'Sedgwick', '5', '20210505 18:35:04']
['519', 'South Boulevard', '1', '20210505 18:35:38']
['521', 'South Boulevard', '5', '20210505 18:35:18']
['522', 'Diversey', '1', '20210505 18:35:35']
['516', 'Chicago', '1', '20210505 18:36:28']
['519', 'South Boulevard', '1', '20210505 18:35:38']
['521', 'Howard', '5', '20210505 18:36:28']
['522', 'Diversey', '1', '20210505 18:36:25']
['523', 'Sedgwick', '1', '20210505 18:36:35']
['512', 'Central', '5', '20210505 18:37:50']
['518', 'Chicago', '5', '20210505 18:38:00']
['519', 'Main', '1', '20210505 18:37:39']
['522', 'Wellington', '1', '20210505 18:37:46']
['512', 'Central', '5', '20210505 18:37:50']
['518', 'Chicago', '5', '20210505 18:38:40']
['519', 'Main', '1', '20210505 18:37:39']
['522', 'Belmont', '1', '20210505 18:38:33']
['516', 'Sedgwick', '1', '20210505 18:39:30']
['519', 'Dempster', '1', '20210505 18:39:08']
['522', 'Belmont', '1', '20210505 18:39:35']
['523', 'Armitage', '1', '20210505 18:39:38']
['512', 'Davis', '5', '20210505 18:40:33']
['523', 'Armitage', '1', '20210505 18:40:35']
['512', 'Davis', '5', '20210505 18:41:17']
['518', 'Merchandise Mart', '5', '20210505 18:41:28']
['519', 'Davis', '1', '20210505 18:41:33']
['512', 'Davis', '5', '20210505 18:41:58']
['516', 'Armitage', '1', '20210505 18:42:22']
['517', 'Fullerton', '5', '20210505 18:42:36']
['516', 'Armitage', '1', '20210505 18:43:37']
['517', 'Fullerton', '5', '20210505 18:43:27']
['518', 'State/Lake', '5', '20210505 18:43:38']
['519', 'Noyes', '1', '20210505 18:43:21']
['523', 'Diversey', '1', '20210505 18:43:31']
['512', 'Main', '5', '20210505 18:44:56']
['516', 'Fullerton', '1', '20210505 18:44:55']
['517', 'Armitage', '5', '20210505 18:44:51']
['518', 'State/Lake', '5', '20210505 18:44:54']
['521', 'Wilson', '5', '20210505 18:44:58']
['512', 'Main', '5', '20210505 18:44:56']
['516', 'Fullerton', '1', '20210505 18:45:36']
['517', 'North/Clybourn', '5', '20210505 18:45:37']
['519', 'Central', '1', '20210505 18:45:39']
['512', 'South Boulevard', '5', '20210505 18:46:17']
['517', 'North/Clybourn', '5', '20210505 18:46:27']
['518', 'Washington/Wabash', '5', '20210505 18:46:38']
['523', 'Belmont', '1', '20210505 18:46:28']
['512', 'Howard', '5', '20210505 18:47:35']
['515', 'Central', '5', '20210505 18:47:12']
['516', 'Diversey', '1', '20210505 18:47:35']
['518', 'Adams/Wabash', '5', '20210505 18:47:36']
['519', 'Linden', '1', '20210505 18:47:06']
['521', 'Sheridan', '5', '20210505 18:47:22']
['512', 'Howard', '5', '20210505 18:48:35']
['515', 'Central', '5', '20210505 18:47:58']
['518', 'Harold Washington Library-State/Van Buren', '5', '20210505 18:48:32']
['519', 'Linden', '1', '20210505 18:48:39']
['520', 'Main', '1', '20210505 18:48:17']
['521', 'Sheridan', '5', '20210505 18:47:22']
['516', 'Wellington', '1', '20210505 18:49:38']
['517', 'Sedgwick', '5', '20210505 18:49:06']
['518', 'LaSalle/Van Buren', '5', '20210505 18:49:28']
['520', 'Main', '1', '20210505 18:49:19']
['515', 'Davis', '5', '20210505 18:50:25']
['516', 'Belmont', '1', '20210505 18:50:34']
['518', 'Quincy', '5', '20210505 18:50:24']
['520', 'Dempster', '1', '20210505 18:49:44']
['515', 'Davis', '5', '20210505 18:51:28']
['518', 'Quincy', '5', '20210505 18:51:39']
['515', 'Davis', '5', '20210505 18:52:09']
['517', 'Chicago', '5', '20210505 18:52:36']
['518', 'Washington/Wells', '5', '20210505 18:52:34']
['515', 'Davis', '5', '20210505 18:53:25']
['518', 'Merchandise Mart', '1', '20210505 18:53:33']
['520', 'Foster', '1', '20210505 18:53:34']
['523', 'Wilson', '1', '20210505 18:53:34']
['515', 'Dempster', '5', '20210505 18:53:43']
['517', 'Merchandise Mart', '5', '20210505 18:54:40']
['520', 'Noyes', '1', '20210505 18:53:53']
['521', 'Belmont', '5', '20210505 18:54:31']
['515', 'Main', '5', '20210505 18:55:31']
['517', 'Merchandise Mart', '5', '20210505 18:55:18']
['518', 'Chicago', '1', '20210505 18:55:39']
['521', 'Belmont', '5', '20210505 18:55:36']
['515', 'Main', '5', '20210505 18:55:45']
['518', 'Chicago', '1', '20210505 18:56:32']
['521', 'Fullerton', '5', '20210505 18:56:38']
['515', 'South Boulevard', '5', '20210505 18:57:10']
['516', 'Wilson', '1', '20210505 18:57:27']
['517', 'Clark/Lake', '5', '20210505 18:57:28']
['521', 'Fullerton', '5', '20210505 18:57:36']
['515', 'Howard', '5', '20210505 18:58:25']
['517', 'State/Lake', '5', '20210505 18:58:04']
['518', 'Sedgwick', '1', '20210505 18:58:40']
['520', 'Linden', '1', '20210505 18:58:37']
['522', 'South Boulevard', '1', '20210505 18:58:10']
['515', 'Howard', '5', '20210505 18:59:34']
['518', 'Sedgwick', '1', '20210505 18:59:33']
['521', 'Armitage', '5', '20210505 18:59:35']
['522', 'South Boulevard', '1', '20210505 18:58:10']
['517', 'Washington/Wabash', '5', '20210505 19:00:37']
['521', 'North/Clybourn', '5', '20210505 19:00:37']
['522', 'South Boulevard', '1', '20210505 18:58:10']
['517', 'Adams/Wabash', '5', '20210505 19:01:37']
['519', 'Central', '5', '20210505 19:01:17']
['522', 'South Boulevard', '1', '20210505 18:58:10']
['517', 'Harold Washington Library-State/Van Buren', '5', '20210505 19:02:32']
['518', 'Armitage', '1', '20210505 19:02:28']
['519', 'Central', '5', '20210505 19:02:12']
['521', 'Clark/Division', '5', '20210505 19:02:33']
['522', 'Main', '1', '20210505 19:02:39']
['517', 'LaSalle/Van Buren', '5', '20210505 19:03:38']
['518', 'Armitage', '1', '20210505 19:03:32']
['521', 'Sedgwick', '5', '20210505 19:03:27']
['522', 'Main', '1', '20210505 19:02:39']
['517', 'LaSalle/Van Buren', '5', '20210505 19:04:29']
['519', 'Davis', '5', '20210505 19:04:26']
['522', 'Dempster', '1', '20210505 19:04:25']
['523', 'South Boulevard', '1', '20210505 19:04:23']
['517', 'Quincy', '5', '20210505 19:05:37']
['519', 'Davis', '5', '20210505 19:05:32']
['521', 'Chicago', '5', '20210505 19:05:38']
['522', 'Dempster', '1', '20210505 19:05:33']
['523', 'South Boulevard', '1', '20210505 19:04:23']
['517', 'Washington/Wells', '5', '20210505 19:06:40']
['518', 'Diversey', '1', '20210505 19:06:33']
['519', 'Davis', '5', '20210505 19:06:13']
['521', 'Chicago', '5', '20210505 19:06:26']
['523', 'South Boulevard', '1', '20210505 19:04:23']
['518', 'Diversey', '1', '20210505 19:07:31']
['519', 'Davis', '5', '20210505 19:07:30']
['523', 'South Boulevard', '1', '20210505 19:04:23']
['517', 'Merchandise Mart', '1', '20210505 19:08:31']
['518', 'Wellington', '1', '20210505 19:07:53']
['521', 'Merchandise Mart', '5', '20210505 19:08:29']
['522', 'Foster', '1', '20210505 19:08:35']
['523', 'South Boulevard', '1', '20210505 19:04:23']
['518', 'Belmont', '1', '20210505 19:09:26']
['519', 'Main', '5', '20210505 19:09:36']
['522', 'Noyes', '1', '20210505 19:09:04']
['523', 'Main', '1', '20210505 19:08:49']
['517', 'Chicago', '1', '20210505 19:10:19']
['519', 'Main', '5', '20210505 19:09:36']
['521', 'Clark/Lake', '5', '20210505 19:10:33']
['523', 'Dempster', '1', '20210505 19:10:10']
['516', 'Main', '1', '20210505 19:11:21']
['519', 'South Boulevard', '5', '20210505 19:11:31']
