['520', 'Washington/Wabash', '5', '20210506 15:56:38']
['508', 'Wellington', '5', '20210506 15:57:39']
['509', 'Davis', '5', '20210506 15:56:52']
['514', 'Foster', '1', '20210506 15:57:38']
['519', 'Wellington', '1', '20210506 15:57:27']
['520', 'Adams/Wabash', '5', '20210506 15:57:03']
['506', 'Sedgwick', '5', '20210506 15:58:21']
['508', 'Diversey', '5', '20210506 15:58:32']
['514', 'Noyes', '1', '20210506 15:58:01']
['515', 'South Boulevard', '1', '20210506 15:58:32']
['519', 'Belmont', '1', '20210506 15:58:13']
['509', 'Main', '5', '20210506 15:59:39']
['515', 'Main', '1', '20210506 15:59:04']
['520', 'LaSalle/Van Buren', '5', '20210506 15:59:30']
['508', 'Fullerton', '5', '20210506 16:00:35']
['509', 'Main', '5', '20210506 16:00:39']
['515', 'Dempster', '1', '20210506 16:00:39']
['518', 'Sedgwick', '1', '20210506 16:00:35']
['520', 'LaSalle/Van Buren', '5', '20210506 16:00:35']
['506', 'Chicago', '5', '20210506 16:01:25']
['508', 'Armitage', '5', '20210506 16:01:36']
['509', 'South Boulevard', '5', '20210506 16:01:28']
['514', 'Linden', '1', '20210506 16:01:32']
['515', 'Dempster', '1', '20210506 16:01:37']
['520', 'Quincy', '5', '20210506 16:01:17']
['506', 'Chicago', '5', '20210506 16:02:23']
['507', 'Wilson', '5', '20210506 16:02:38']
['509', 'Howard', '5', '20210506 16:02:19']
['514', 'Linden', '1', '20210506 16:02:28']
['520', 'Washington/Wells', '5', '20210506 16:02:32']
['507', 'Wilson', '5', '20210506 16:03:38']
['517', 'Central', '5', '20210506 16:03:21']
['506', 'Merchandise Mart', '5', '20210506 16:04:35']
['515', 'Foster', '1', '20210506 16:04:28']
['517', 'Central', '5', '20210506 16:04:09']
['518', 'Armitage', '1', '20210506 16:04:36']
['520', 'Merchandise Mart', '1', '20210506 16:04:07']
['507', 'Sheridan', '5', '20210506 16:05:39']
['508', 'Sedgwick', '5', '20210506 16:05:07']
['515', 'Noyes', '1', '20210506 16:04:44']
