['512', 'Sheridan', '5', '20210506 07:29:37']
['513', 'Davis', '5', '20210506 07:29:35']
['508', 'Fullerton', '1', '20210506 07:30:19']
['509', 'Chicago', '1', '20210506 07:30:38']
['510', 'State/Lake', '5', '20210506 07:30:24']
['512', 'Sheridan', '5', '20210506 07:29:46']
['513', 'Davis', '5', '20210506 07:30:36']
['504', 'Linden', '1', '20210506 07:31:21']
['513', 'Davis', '5', '20210506 07:30:36']
['508', 'Diversey', '1', '20210506 07:32:40']
['510', 'Washington/Wabash', '5', '20210506 07:32:29']
['511', 'Sedgwick', '5', '20210506 07:32:30']
['508', 'Wellington', '1', '20210506 07:33:03']
['509', 'Sedgwick', '1', '20210506 07:33:39']
['510', 'Adams/Wabash', '5', '20210506 07:33:12']
['512', 'Belmont', '5', '20210506 07:33:37']
['513', 'Main', '5', '20210506 07:33:29']
['503', 'Wilson', '5', '20210506 07:34:38']
['506', 'South Boulevard', '1', '20210506 07:34:26']
['508', 'Belmont', '1', '20210506 07:34:35']
['512', 'Wellington', '5', '20210506 07:34:03']
['513', 'Main', '5', '20210506 07:34:27']
['503', 'Wilson', '5', '20210506 07:35:35']
['506', 'South Boulevard', '1', '20210506 07:34:26']
['510', 'LaSalle/Van Buren', '5', '20210506 07:35:38']
['511', 'Chicago', '5', '20210506 07:35:33']
['512', 'Diversey', '5', '20210506 07:35:28']
['513', 'South Boulevard', '5', '20210506 07:35:18']
['514', 'Central', '5', '20210506 07:35:37']
['506', 'South Boulevard', '1', '20210506 07:34:26']
['509', 'Armitage', '1', '20210506 07:36:33']
['510', 'LaSalle/Van Buren', '5', '20210506 07:36:34']
['511', 'Chicago', '5', '20210506 07:36:33']
['512', 'Diversey', '5', '20210506 07:36:24']
['513', 'Howard', '5', '20210506 07:35:55']
['514', 'Central', '5', '20210506 07:36:36']
['503', 'Sheridan', '5', '20210506 07:37:30']
['506', 'South Boulevard', '1', '20210506 07:34:26']
['510', 'Quincy', '5', '20210506 07:37:38']
['512', 'Fullerton', '5', '20210506 07:37:35']
['503', 'Sheridan', '5', '20210506 07:37:30']
['506', 'South Boulevard', '1', '20210506 07:34:26']
['509', 'Fullerton', '1', '20210506 07:38:35']
['510', 'Quincy', '5', '20210506 07:38:37']
['511', 'Merchandise Mart', '5', '20210506 07:38:13']
['506', 'Main', '1', '20210506 07:39:31']
['510', 'Washington/Wells', '5', '20210506 07:39:58']
['514', 'Davis', '5', '20210506 07:39:45']
['506', 'Main', '1', '20210506 07:40:31']
['509', 'Diversey', '1', '20210506 07:40:37']
['511', 'Clark/Lake', '5', '20210506 07:40:34']
['514', 'Davis', '5', '20210506 07:40:06']
['503', 'Belmont', '5', '20210506 07:41:39']
['506', 'Dempster', '1', '20210506 07:40:55']
['508', 'Wilson', '1', '20210506 07:41:36']
['509', 'Wellington', '1', '20210506 07:41:24']
['510', 'Merchandise Mart', '1', '20210506 07:41:20']
['511', 'State/Lake', '5', '20210506 07:41:35']
['514', 'Davis', '5', '20210506 07:40:41']
['503', 'Wellington', '5', '20210506 07:42:06']
['509', 'Wellington', '1', '20210506 07:42:34']
['511', 'State/Lake', '5', '20210506 07:42:34']
['512', 'Sedgwick', '5', '20210506 07:42:17']
['503', 'Diversey', '5', '20210506 07:43:24']
['509', 'Belmont', '1', '20210506 07:43:37']
['511', 'Washington/Wabash', '5', '20210506 07:43:28']
['514', 'Main', '5', '20210506 07:43:39']
['504', 'Central', '5', '20210506 07:43:54']
['510', 'Chicago', '1', '20210506 07:44:36']
['511', 'Adams/Wabash', '5', '20210506 07:44:29']
['513', 'Wilson', '5', '20210506 07:44:32']
['514', 'Main', '5', '20210506 07:44:37']
['503', 'Fullerton', '5', '20210506 07:45:37']
['506', 'Noyes', '1', '20210506 07:45:21']
['512', 'Chicago', '5', '20210506 07:45:35']
['514', 'South Boulevard', '5', '20210506 07:45:26']
['511', 'Harold Washington Library-State/Van Buren', '5', '20210506 07:46:39']
['513', 'Sheridan', '5', '20210506 07:46:38']
['514', 'Howard', '5', '20210506 07:46:06']
['504', 'Davis', '5', '20210506 07:47:35']
['506', 'Linden', '1', '20210506 07:47:35']
['510', 'Sedgwick', '1', '20210506 07:47:37']
['511', 'LaSalle/Van Buren', '5', '20210506 07:47:30']
['512', 'Merchandise Mart', '5', '20210506 07:47:37']
['513', 'Sheridan', '5', '20210506 07:46:48']
['504', 'Davis', '5', '20210506 07:48:16']
['506', 'Linden', '1', '20210506 07:47:35']
['511', 'LaSalle/Van Buren', '5', '20210506 07:48:24']
['504', 'Davis', '5', '20210506 07:48:57']
['506', 'Linden', '1', '20210506 07:48:58']
['509', 'Wilson', '1', '20210506 07:49:33']
['511', 'Quincy', '5', '20210506 07:49:30']
['503', 'Sedgwick', '5', '20210506 07:50:09']
['504', 'Dempster', '5', '20210506 07:50:39']
['510', 'Armitage', '1', '20210506 07:50:22']
['511', 'Washington/Wells', '5', '20210506 07:50:11']
['512', 'Clark/Lake', '5', '20210506 07:50:40']
['513', 'Belmont', '5', '20210506 07:50:38']
['515', 'Central', '5', '20210506 07:50:30']
['504', 'Dempster', '5', '20210506 07:50:39']
['510', 'Armitage', '1', '20210506 07:51:39']
['512', 'State/Lake', '5', '20210506 07:51:36']
['513', 'Wellington', '5', '20210506 07:51:08']
['515', 'Central', '5', '20210506 07:51:18']
