['510', 'Main', '5', '20210430 06:53:11']
['513', 'Dempster', '1', '20210430 06:53:14']
['503', 'Noyes', '1', '20210430 06:53:50']
['504', 'Diversey', '1', '20210430 06:54:25']
['506', 'LaSalle/Van Buren', '5', '20210430 06:54:32']
['508', 'Sedgwick', '5', '20210430 06:54:35']
['510', 'South Boulevard', '5', '20210430 06:54:30']
['504', 'Wellington', '1', '20210430 06:55:34']
['506', 'LaSalle/Van Buren', '5', '20210430 06:55:37']
['508', 'Sedgwick', '5', '20210430 06:55:27']
['509', 'Sheridan', '5', '20210430 06:55:33']
['510', 'South Boulevard', '5', '20210430 06:55:00']
['513', 'Davis', '1', '20210430 06:55:30']
['504', 'Belmont', '1', '20210430 06:56:19']
['506', 'Quincy', '5', '20210430 06:56:26']
['510', 'Howard', '5', '20210430 06:55:42']
['503', 'Linden', '1', '20210430 06:57:24']
['506', 'Washington/Wells', '5', '20210430 06:57:15']
['508', 'Chicago', '5', '20210430 06:57:35']
['509', 'Belmont', '5', '20210430 06:57:26']
['513', 'Noyes', '1', '20210430 06:57:10']
['508', 'Chicago', '5', '20210430 06:58:33']
['511', 'Central', '5', '20210430 06:58:06']
['506', 'Merchandise Mart', '1', '20210430 06:59:35']
['509', 'Diversey', '5', '20210430 06:59:33']
['501', 'Wilson', '1', '20210430 07:00:37']
['508', 'Merchandise Mart', '5', '20210430 07:00:39']
['509', 'Diversey', '5', '20210430 07:00:18']
['511', 'Davis', '5', '20210430 07:00:25']
['513', 'Linden', '1', '20210430 07:00:38']
['509', 'Fullerton', '5', '20210430 07:01:30']
['511', 'Davis', '5', '20210430 07:01:27']
['513', 'Linden', '1', '20210430 07:01:34']
['506', 'Chicago', '1', '20210430 07:02:38']
['508', 'Clark/Lake', '5', '20210430 07:02:17']
['511', 'Davis', '5', '20210430 07:02:12']
['508', 'State/Lake', '5', '20210430 07:03:17']
['511', 'Davis', '5', '20210430 07:03:20']
['508', 'State/Lake', '5', '20210430 07:03:58']
['510', 'Wilson', '5', '20210430 07:04:33']
['511', 'Davis', '5', '20210430 07:03:20']
['506', 'Sedgwick', '1', '20210430 07:05:36']
['511', 'Dempster', '5', '20210430 07:04:48']
['508', 'Washington/Wabash', '5', '20210430 07:06:32']
['509', 'Sedgwick', '5', '20210430 07:06:37']
['511', 'Main', '5', '20210430 07:06:18']
['508', 'Adams/Wabash', '5', '20210430 07:07:04']
['511', 'South Boulevard', '5', '20210430 07:07:36']
['512', 'Central', '5', '20210430 07:07:07']
['506', 'Armitage', '1', '20210430 07:08:34']
['508', 'Harold Washington Library-State/Van Buren', '5', '20210430 07:08:39']
['509', 'Chicago', '5', '20210430 07:08:34']
['510', 'Sheridan', '5', '20210430 07:08:37']
['511', 'South Boulevard', '5', '20210430 07:08:06']
['506', 'Armitage', '1', '20210430 07:09:34']
['508', 'LaSalle/Van Buren', '5', '20210430 07:09:32']
['509', 'Chicago', '5', '20210430 07:09:22']
['511', 'Howard', '5', '20210430 07:08:45']
['512', 'Davis', '5', '20210430 07:09:26']
['508', 'LaSalle/Van Buren', '5', '20210430 07:09:59']
['510', 'Belmont', '5', '20210430 07:10:36']
['512', 'Davis', '5', '20210430 07:10:34']
['506', 'Fullerton', '1', '20210430 07:11:23']
['508', 'Quincy', '5', '20210430 07:11:07']
['509', 'Merchandise Mart', '5', '20210430 07:11:12']
['512', 'Davis', '5', '20210430 07:11:16']
['501', 'South Boulevard', '1', '20210430 07:12:26']
['508', 'Washington/Wells', '5', '20210430 07:12:35']
['510', 'Wellington', '5', '20210430 07:12:16']
['512', 'Davis', '5', '20210430 07:12:20']
['501', 'Main', '1', '20210430 07:12:57']
['504', 'South Boulevard', '1', '20210430 07:13:23']
['506', 'Diversey', '1', '20210430 07:13:20']
['509', 'Clark/Lake', '5', '20210430 07:13:20']
['510', 'Diversey', '5', '20210430 07:13:11']
['512', 'Dempster', '5', '20210430 07:12:43']
['504', 'South Boulevard', '1', '20210430 07:13:23']
['506', 'Wellington', '1', '20210430 07:14:07']
['509', 'State/Lake', '5', '20210430 07:14:23']
['501', 'Dempster', '1', '20210430 07:15:28']
['504', 'South Boulevard', '1', '20210430 07:15:36']
['506', 'Wellington', '1', '20210430 07:15:34']
['510', 'Fullerton', '5', '20210430 07:15:31']
['504', 'Main', '1', '20210430 07:15:43']
['508', 'Merchandise Mart', '1', '20210430 07:16:15']
['509', 'Adams/Wabash', '5', '20210430 07:16:37']
['510', 'Armitage', '5', '20210430 07:16:29']
['512', 'South Boulevard', '5', '20210430 07:16:25']
['503', 'Davis', '5', '20210430 07:17:21']
['511', 'Wilson', '5', '20210430 07:17:38']
['512', 'Howard', '5', '20210430 07:16:51']
['501', 'Noyes', '1', '20210430 07:18:37']
['503', 'Davis', '5', '20210430 07:18:36']
['508', 'Chicago', '1', '20210430 07:18:15']
['509', 'Harold Washington Library-State/Van Buren', '5', '20210430 07:18:34']
['501', 'Noyes', '1', '20210430 07:18:37']
['503', 'Davis', '5', '20210430 07:18:47']
['509', 'LaSalle/Van Buren', '5', '20210430 07:19:39']
['511', 'Sheridan', '5', '20210430 07:19:35']
['501', 'Central', '1', '20210430 07:20:37']
['503', 'Davis', '5', '20210430 07:20:37']
['504', 'Foster', '1', '20210430 07:20:33']
['509', 'Quincy', '5', '20210430 07:20:34']
['510', 'Sedgwick', '5', '20210430 07:20:38']
['511', 'Sheridan', '5', '20210430 07:19:35']
['501', 'Linden', '1', '20210430 07:21:20']
['503', 'Davis', '5', '20210430 07:20:37']
['504', 'Noyes', '1', '20210430 07:20:57']
['508', 'Sedgwick', '1', '20210430 07:21:32']
['509', 'Washington/Wells', '5', '20210430 07:21:21']
['501', 'Linden', '1', '20210430 07:22:21']
['504', 'Central', '1', '20210430 07:22:36']
['506', 'Wilson', '1', '20210430 07:22:30']
['509', 'Washington/Wells', '5', '20210430 07:22:37']
['501', 'Linden', '1', '20210430 07:23:21']
['504', 'Linden', '1', '20210430 07:23:10']
['510', 'Chicago', '5', '20210430 07:23:34']
['511', 'Belmont', '5', '20210430 07:23:02']
['513', 'Central', '5', '20210430 07:23:39']
['503', 'Main', '5', '20210430 07:24:34']
['504', 'Linden', '1', '20210430 07:23:10']
['508', 'Armitage', '1', '20210430 07:24:34']
['511', 'Wellington', '5', '20210430 07:24:37']
['513', 'Noyes', '5', '20210430 07:24:30']
['503', 'South Boulevard', '5', '20210430 07:25:36']
['504', 'Linden', '1', '20210430 07:25:30']
['508', 'Armitage', '1', '20210430 07:25:31']
['509', 'Merchandise Mart', '1', '20210430 07:25:37']
['510', 'Merchandise Mart', '5', '20210430 07:25:32']
['511', 'Wellington', '5', '20210430 07:25:24']
['512', 'Wilson', '5', '20210430 07:25:34']
['513', 'Davis', '5', '20210430 07:25:16']
['503', 'Howard', '5', '20210430 07:26:08']
['511', 'Diversey', '5', '20210430 07:26:17']
['513', 'Davis', '5', '20210430 07:26:37']
['503', 'Howard', '5', '20210430 07:26:08']
['508', 'Fullerton', '1', '20210430 07:27:16']
['509', 'Chicago', '1', '20210430 07:27:16']
['513', 'Davis', '5', '20210430 07:27:16']
['508', 'Diversey', '1', '20210430 07:28:37']
['510', 'State/Lake', '5', '20210430 07:28:37']
['511', 'Fullerton', '5', '20210430 07:28:34']
['512', 'Sheridan', '5', '20210430 07:28:00']
['513', 'Davis', '5', '20210430 07:28:22']
['508', 'Diversey', '1', '20210430 07:29:17']
['510', 'State/Lake', '5', '20210430 07:29:04']
['511', 'Armitage', '5', '20210430 07:29:27']
['512', 'Sheridan', '5', '20210430 07:29:29']
['513', 'Davis', '5', '20210430 07:29:24']
['508', 'Wellington', '1', '20210430 07:30:07']
['509', 'Sedgwick', '1', '20210430 07:30:31']
['508', 'Wellington', '1', '20210430 07:31:36']
['510', 'Adams/Wabash', '5', '20210430 07:31:33']
['504', 'Central', '5', '20210430 07:32:39']
['510', 'Adams/Wabash', '5', '20210430 07:32:39']
['512', 'Wellington', '5', '20210430 07:32:29']
['513', 'South Boulevard', '5', '20210430 07:32:33']
['504', 'Central', '5', '20210430 07:33:34']
['509', 'Armitage', '1', '20210430 07:33:36']
['510', 'Harold Washington Library-State/Van Buren', '5', '20210430 07:33:39']
['511', 'Sedgwick', '5', '20210430 07:33:35']
['512', 'Wellington', '5', '20210430 07:33:14']
['513', 'South Boulevard', '5', '20210430 07:33:10']
['504', 'Davis', '5', '20210430 07:34:29']
['506', 'South Boulevard', '1', '20210430 07:34:34']
['509', 'Armitage', '1', '20210430 07:34:37']
['510', 'LaSalle/Van Buren', '5', '20210430 07:34:33']
['512', 'Diversey', '5', '20210430 07:34:09']
['513', 'Howard', '5', '20210430 07:33:50']
['503', 'Wilson', '5', '20210430 07:35:37']
['504', 'Davis', '5', '20210430 07:34:29']
['506', 'Main', '1', '20210430 07:35:08']
['510', 'LaSalle/Van Buren', '5', '20210430 07:35:28']
['503', 'Wilson', '5', '20210430 07:36:37']
['504', 'Davis', '5', '20210430 07:36:23']
['510', 'Quincy', '5', '20210430 07:36:35']
['511', 'Chicago', '5', '20210430 07:36:33']
['512', 'Fullerton', '5', '20210430 07:36:31']
['504', 'Davis', '5', '20210430 07:37:03']
['509', 'Diversey', '1', '20210430 07:37:33']
['510', 'Washington/Wells', '5', '20210430 07:37:37']
['512', 'Armitage', '5', '20210430 07:37:39']
['503', 'Sheridan', '5', '20210430 07:38:36']
