['518', 'Sedgwick', '0', '5', '20210512 15:28:21']
['519', 'Clark/Lake', '0', '5', '20210512 15:27:57']
['520', 'Wilson', '0', '5', '20210512 15:28:16']
['522', 'Dempster', '0', '5', '20210512 15:28:13']
['509', 'Foster', '0', '1', '20210512 15:28:33']
['514', 'Armitage', '1', '1', '20210512 15:28:36']
['515', 'Merchandise Mart', '0', '1', '20210512 15:29:34']
['518', 'Sedgwick', '0', '5', '20210512 15:28:21']
['519', 'Clark/Lake', '1', '5', '20210512 15:28:15']
['520', 'Wilson', '0', '5', '20210512 15:28:16']
['522', 'Main', '1', '5', '20210512 15:28:37']
['509', 'Noyes', '1', '1', '20210512 15:29:00']
['514', 'Fullerton', '0', '1', '20210512 15:30:38']
['515', 'Merchandise Mart', '1', '1', '20210512 15:29:33']
['518', 'Chicago', '0', '5', '20210512 15:31:32']
['519', 'Clark/Lake', '1', '5', '20210512 15:28:15']
['520', 'Wilson', '0', '5', '20210512 15:28:16']
['522', 'Main', '1', '5', '20210512 15:28:46']
['509', 'Central', '0', '1', '20210512 15:31:01']
['514', 'Fullerton', '1', '1', '20210512 15:30:38']
['515', 'Chicago', '0', '1', '20210512 15:31:27']
['518', 'Chicago', '0', '5', '20210512 15:31:22']
['519', 'Clark/Lake', '1', '5', '20210512 15:30:36']
['520', 'Belmont', '0', '5', '20210512 15:32:29']
['522', 'South Boulevard', '1', '5', '20210512 15:30:18']
['509', 'Linden', '0', '1', '20210512 15:32:13']
['513', 'Wilson', '1', '1', '20210512 15:31:37']
['514', 'Diversey', '0', '1', '20210512 15:32:20']
['515', 'Chicago', '1', '1', '20210512 15:31:34']
['518', 'Chicago', '1', '5', '20210512 15:31:36']
['519', 'State/Lake', '1', '5', '20210512 15:31:04']
['520', 'Belmont', '0', '5', '20210512 15:33:29']
['522', 'Howard', '1', '5', '20210512 15:31:34']
['509', 'Linden', '1', '1', '20210512 15:32:21']
['513', 'South Boulevard', '0', '1', '20210512 15:43:11']
['514', 'Diversey', '0', '1', '20210512 15:32:20']
['515', 'Sedgwick', '0', '1', '20210512 15:34:39']
['518', 'Chicago', '1', '5', '20210512 15:32:25']
['519', 'Washington/Wabash', '0', '5', '20210512 15:33:20']
['520', 'Belmont', '0', '5', '20210512 15:33:39']
['522', 'Howard', '1', '5', '20210512 15:31:34']
['523', 'Central', '1', '5', '20210512 15:31:50']
['509', 'Linden', '1', '1', '20210512 15:33:09']
['513', 'South Boulevard', '0', '1', '20210512 15:43:11']
['514', 'Diversey', '1', '1', '20210512 15:33:17']
['515', 'Sedgwick', '0', '1', '20210512 15:34:22']
['518', 'Merchandise Mart', '0', '5', '20210512 15:34:11']
['519', 'Washington/Wabash', '1', '5', '20210512 15:33:38']
['520', 'Belmont', '1', '5', '20210512 15:33:34']
['522', 'Wilson', '0', '5', '20210512 15:42:22']
['523', 'Noyes', '0', '5', '20210512 15:34:30']
['513', 'South Boulevard', '0', '1', '20210512 15:42:58']
['514', 'Wellington', '1', '1', '20210512 15:34:05']
['515', 'Sedgwick', '1', '1', '20210512 15:34:29']
['518', 'Merchandise Mart', '1', '5', '20210512 15:34:26']
['519', 'Adams/Wabash', '1', '5', '20210512 15:34:07']
['520', 'Wellington', '1', '5', '20210512 15:33:54']
['522', 'Wilson', '0', '5', '20210512 15:42:22']
['523', 'Noyes', '0', '5', '20210512 15:34:30']
['513', 'South Boulevard', '0', '1', '20210512 15:42:07']
['514', 'Wellington', '1', '1', '20210512 15:35:34']
['515', 'Sedgwick', '1', '1', '20210512 15:35:33']
['518', 'Clark/Lake', '0', '5', '20210512 15:35:51']
['519', 'LaSalle/Van Buren', '0', '5', '20210512 15:36:13']
['520', 'Diversey', '1', '5', '20210512 15:35:35']
['522', 'Wilson', '0', '5', '20210512 15:42:22']
['523', 'Davis', '1', '5', '20210512 15:35:29']
['513', 'South Boulevard', '0', '1', '20210512 15:42:04']
['515', 'Armitage', '0', '1', '20210512 15:38:31']
['518', 'Clark/Lake', '1', '5', '20210512 15:36:36']
['519', 'LaSalle/Van Buren', '1', '5', '20210512 15:36:31']
['520', 'Fullerton', '0', '5', '20210512 15:37:32']
['522', 'Wilson', '0', '5', '20210512 15:42:27']
['523', 'Davis', '1', '5', '20210512 15:36:02']
['513', 'South Boulevard', '0', '1', '20210512 15:41:34']
['515', 'Armitage', '0', '1', '20210512 15:38:27']
['518', 'State/Lake', '1', '5', '20210512 15:37:12']
['519', 'LaSalle/Van Buren', '1', '5', '20210512 15:37:26']
['520', 'Fullerton', '1', '5', '20210512 15:37:39']
['522', 'Wilson', '0', '5', '20210512 15:43:06']
['523', 'Davis', '1', '5', '20210512 15:36:50']
['513', 'South Boulevard', '0', '1', '20210512 15:41:32']
['515', 'Armitage', '1', '1', '20210512 15:38:37']
['518', 'Washington/Wabash', '0', '5', '20210512 15:39:35']
['519', 'Quincy', '1', '5', '20210512 15:38:32']
['520', 'Armitage', '0', '5', '20210512 15:39:05']
['522', 'Wilson', '0', '5', '20210512 15:41:37']
['523', 'Dempster', '0', '5', '20210512 15:39:27']
['513', 'Howard', '0', '1', '20210512 15:40:28']
['515', 'Fullerton', '0', '1', '20210512 15:40:26']
['518', 'Washington/Wabash', '1', '5', '20210512 15:39:35']
['519', 'Quincy', '1', '5', '20210512 15:39:35']
['520', 'Armitage', '1', '5', '20210512 15:39:29']
['522', 'Wilson', '0', '5', '20210512 15:40:39']
['523', 'Dempster', '0', '5', '20210512 15:39:27']
['513', 'Howard', '0', '1', '20210512 15:40:28']
['515', 'Fullerton', '1', '1', '20210512 15:40:33']
['518', 'Adams/Wabash', '1', '5', '20210512 15:40:38']
['519', 'Washington/Wells', '1', '5', '20210512 15:40:38']
['520', 'Sedgwick', '0', '5', '20210512 15:42:39']
['522', 'Wilson', '1', '5', '20210512 15:40:37']
['523', 'Main', '1', '5', '20210512 15:40:14']
['513', 'Howard', '0', '1', '20210512 15:40:28']
['515', 'Diversey', '0', '1', '20210512 15:42:09']
['518', 'Harold Washington Library-State/Van Buren', '1', '5', '20210512 15:41:32']
['519', 'Merchandise Mart', '0', '1', '20210512 15:42:09']
['520', 'Sedgwick', '0', '5', '20210512 15:42:29']
['522', 'Sheridan', '0', '5', '20210512 15:43:12']
