['520', 'LaSalle/Van Buren', '5', '20210507 15:59:14']
['523', 'Wellington', '5', '20210507 15:59:25']
['509', 'Dempster', '5', '20210507 15:59:35']
['515', 'Dempster', '1', '20210507 16:00:29']
['518', 'Fullerton', '1', '20210507 16:00:37']
['519', 'Belmont', '1', '20210507 16:00:33']
['520', 'Quincy', '5', '20210507 16:00:13']
['522', 'Chicago', '5', '20210507 16:00:33']
['523', 'Diversey', '5', '20210507 16:00:20']
['509', 'Main', '5', '20210507 16:01:04']
['514', 'Linden', '1', '20210507 16:01:07']
['515', 'Dempster', '1', '20210507 16:01:25']
['520', 'Washington/Wells', '5', '20210507 16:01:30']
['522', 'Chicago', '5', '20210507 16:01:35']
['509', 'South Boulevard', '5', '20210507 16:02:23']
['518', 'Diversey', '1', '20210507 16:02:17']
['509', 'Howard', '5', '20210507 16:03:33']
['517', 'Central', '5', '20210507 16:03:08']
['520', 'Merchandise Mart', '1', '20210507 16:03:37']
['522', 'Merchandise Mart', '5', '20210507 16:03:20']
['523', 'Armitage', '5', '20210507 16:03:39']
['509', 'Howard', '5', '20210507 16:04:36']
['515', 'Noyes', '1', '20210507 16:04:37']
['518', 'Wellington', '1', '20210507 16:04:16']
['518', 'Belmont', '1', '20210507 16:05:34']
['520', 'Chicago', '1', '20210507 16:05:36']
['515', 'Central', '1', '20210507 16:06:33']
['517', 'Davis', '5', '20210507 16:06:27']
['520', 'Chicago', '1', '20210507 16:06:37']
['522', 'State/Lake', '5', '20210507 16:06:25']
['507', 'Wilson', '5', '20210507 16:07:39']
['517', 'Davis', '5', '20210507 16:07:08']
['523', 'Sedgwick', '5', '20210507 16:07:32']
['507', 'Wilson', '5', '20210507 16:08:37']
['515', 'Linden', '1', '20210507 16:08:03']
['517', 'Davis', '5', '20210507 16:07:56']
['520', 'Sedgwick', '1', '20210507 16:08:36']
['522', 'Washington/Wabash', '5', '20210507 16:08:30']
['517', 'Dempster', '5', '20210507 16:09:29']
['520', 'Sedgwick', '1', '20210507 16:09:34']
['522', 'Adams/Wabash', '5', '20210507 16:09:15']
['507', 'Sheridan', '5', '20210507 16:10:28']
['517', 'Dempster', '5', '20210507 16:09:29']
['523', 'Chicago', '5', '20210507 16:10:29']
['507', 'Sheridan', '5', '20210507 16:10:28']
['509', 'Wilson', '5', '20210507 16:11:38']
['517', 'Main', '5', '20210507 16:11:07']
['518', 'Wilson', '1', '20210507 16:11:34']
['521', 'Central', '5', '20210507 16:11:26']
['522', 'LaSalle/Van Buren', '5', '20210507 16:11:28']
['509', 'Wilson', '5', '20210507 16:12:40']
['517', 'South Boulevard', '5', '20210507 16:12:32']
['520', 'Armitage', '1', '20210507 16:12:19']
['521', 'Central', '5', '20210507 16:12:16']
['522', 'LaSalle/Van Buren', '5', '20210507 16:12:38']
['523', 'Merchandise Mart', '5', '20210507 16:12:24']
['517', 'South Boulevard', '5', '20210507 16:13:02']
['520', 'Armitage', '1', '20210507 16:13:37']
['522', 'Quincy', '5', '20210507 16:13:21']
