'518', 'Armitage', '1', '20210423 16:00:34'
'504', 'Wilson', '5', '20210423 16:01:33'
'507', 'Dempster', '5', '20210423 16:00:29'
'512', 'Noyes', '1', '20210423 16:00:49'
'515', 'Adams/Wabash', '5', '20210423 16:01:38'
'507', 'Main', '5', '20210423 16:01:59'
'512', 'Central', '1', '20210423 16:02:34'
'515', 'Adams/Wabash', '5', '20210423 16:02:29'
'518', 'Fullerton', '1', '20210423 16:02:38'
'506', 'Chicago', '5', '20210423 16:03:35'
'507', 'South Boulevard', '5', '20210423 16:03:19'
'512', 'Linden', '1', '20210423 16:02:55'
'515', 'Harold Washington Library-State/Van Buren', '5', '20210423 16:03:38'
'518', 'Fullerton', '1', '20210423 16:03:30'
'507', 'Howard', '5', '20210423 16:04:34'
'512', 'Linden', '1', '20210423 16:04:13'
'515', 'LaSalle/Van Buren', '5', '20210423 16:04:24'
'506', 'Merchandise Mart', '5', '20210423 16:05:33'
'507', 'Howard', '5', '20210423 16:04:34'
'515', 'Quincy', '5', '20210423 16:05:23'
'518', 'Diversey', '1', '20210423 16:05:11'
'515', 'Quincy', '5', '20210423 16:06:37'
'504', 'Belmont', '5', '20210423 16:07:13'
'508', 'Davis', '5', '20210423 16:07:37'
'515', 'Washington/Wells', '5', '20210423 16:07:31'
'518', 'Wellington', '1', '20210423 16:07:20'
'504', 'Wellington', '5', '20210423 16:08:28'
'506', 'Clark/Lake', '5', '20210423 16:07:44'
'508', 'Davis', '5', '20210423 16:08:16'
'518', 'Belmont', '1', '20210423 16:08:06'
'504', 'Wellington', '5', '20210423 16:09:20'
'506', 'Clark/Lake', '5', '20210423 16:09:36'
'508', 'Davis', '5', '20210423 16:08:52'
'515', 'Merchandise Mart', '1', '20210423 16:08:47'
'504', 'Diversey', '5', '20210423 16:10:12'
'506', 'State/Lake', '5', '20210423 16:10:28'
'508', 'Dempster', '5', '20210423 16:10:22'
'514', 'Main', '1', '20210423 16:10:33'
'515', 'Merchandise Mart', '1', '20210423 16:10:23'
'504', 'Fullerton', '5', '20210423 16:11:30'
'506', 'State/Lake', '5', '20210423 16:11:29'
'508', 'Dempster', '5', '20210423 16:10:22'
'514', 'Main', '1', '20210423 16:11:36'
'504', 'Fullerton', '5', '20210423 16:12:36'
'506', 'Washington/Wabash', '5', '20210423 16:12:36'
'507', 'Wilson', '5', '20210423 16:12:35'
'508', 'Main', '5', '20210423 16:12:07'
'514', 'Dempster', '1', '20210423 16:12:01'
'515', 'Chicago', '1', '20210423 16:12:38'
'506', 'Adams/Wabash', '5', '20210423 16:13:31'
'508', 'South Boulevard', '5', '20210423 16:13:24'
'504', 'Armitage', '5', '20210423 16:14:34'
'508', 'Howard', '5', '20210423 16:14:34'
'506', 'Harold Washington Library-State/Van Buren', '5', '20210423 16:15:26'
'508', 'Howard', '5', '20210423 16:15:37'
'506', 'Harold Washington Library-State/Van Buren', '5', '20210423 16:16:38'
'514', 'Noyes', '1', '20210423 16:16:05'
'515', 'Sedgwick', '1', '20210423 16:16:39'
'504', 'Sedgwick', '5', '20210423 16:17:28'
'506', 'LaSalle/Van Buren', '5', '20210423 16:17:35'
'509', 'Davis', '5', '20210423 16:17:29'
'506', 'Quincy', '5', '20210423 16:18:35'
'507', 'Belmont', '5', '20210423 16:18:16'
'509', 'Davis', '5', '20210423 16:18:10'
'514', 'Linden', '1', '20210423 16:18:24'
'506', 'Quincy', '5', '20210423 16:19:32'
'507', 'Wellington', '5', '20210423 16:19:31'
'509', 'Davis', '5', '20210423 16:18:48'
'514', 'Linden', '1', '20210423 16:18:24'
'515', 'Armitage', '1', '20210423 16:19:21'
'504', 'Chicago', '5', '20210423 16:20:35'
'506', 'Washington/Wells', '5', '20210423 16:20:39'
'507', 'Diversey', '5', '20210423 16:20:39'
'509', 'Dempster', '5', '20210423 16:20:22'
'514', 'Linden', '1', '20210423 16:20:35'
'515', 'Armitage', '1', '20210423 16:20:38'
'504', 'Chicago', '5', '20210423 16:21:31'
'507', 'Diversey', '5', '20210423 16:21:09'
'509', 'Dempster', '5', '20210423 16:20:22'
'506', 'Merchandise Mart', '1', '20210423 16:22:21'
'507', 'Fullerton', '5', '20210423 16:22:21'
'508', 'Wilson', '5', '20210423 16:22:37'
'509', 'Main', '5', '20210423 16:21:58'
'504', 'Merchandise Mart', '5', '20210423 16:23:14'
'506', 'Merchandise Mart', '1', '20210423 16:22:21'
'507', 'Fullerton', '5', '20210423 16:23:34'
'509', 'South Boulevard', '5', '20210423 16:23:26'
'506', 'Merchandise Mart', '1', '20210423 16:24:01'
'507', 'Armitage', '5', '20210423 16:24:26'
'509', 'Howard', '5', '20210423 16:24:38'
'515', 'Diversey', '1', '20210423 16:24:25'
'504', 'Clark/Lake', '5', '20210423 16:25:39'
'509', 'Howard', '5', '20210423 16:24:38'
'516', 'Davis', '5', '20210423 16:25:20'
'504', 'State/Lake', '5', '20210423 16:26:15'
'506', 'Chicago', '1', '20210423 16:26:27'
'515', 'Wellington', '1', '20210423 16:26:34'
'516', 'Davis', '5', '20210423 16:26:01'
'518', 'Main', '1', '20210423 16:26:17'
'515', 'Belmont', '1', '20210423 16:27:36'
'516', 'Davis', '5', '20210423 16:26:43'
'518', 'Main', '1', '20210423 16:27:17'
'504', 'Adams/Wabash', '5', '20210423 16:28:37'
'507', 'Sedgwick', '5', '20210423 16:28:39'
'508', 'Belmont', '5', '20210423 16:28:20'
'518', 'Dempster', '1', '20210423 16:28:38'
'504', 'Adams/Wabash', '5', '20210423 16:29:35'
'506', 'Sedgwick', '1', '20210423 16:29:30'
'504', 'Harold Washington Library-State/Van Buren', '5', '20210423 16:30:31'
'506', 'Sedgwick', '1', '20210423 16:30:34'
'508', 'Diversey', '5', '20210423 16:30:30'
'516', 'Main', '5', '20210423 16:29:54'
'519', 'Central', '5', '20210423 16:30:38'
'504', 'LaSalle/Van Buren', '5', '20210423 16:31:30'
'507', 'Chicago', '5', '20210423 16:31:39'
'508', 'Diversey', '5', '20210423 16:31:24'
'516', 'South Boulevard', '5', '20210423 16:31:12'
'518', 'Noyes', '1', '20210423 16:31:39'
'504', 'Quincy', '5', '20210423 16:32:31'
'508', 'Fullerton', '5', '20210423 16:32:30'
'509', 'Wilson', '5', '20210423 16:32:40'
'516', 'Howard', '5', '20210423 16:32:22'
'504', 'Quincy', '5', '20210423 16:33:35'
'506', 'Armitage', '1', '20210423 16:33:33'
'507', 'Merchandise Mart', '5', '20210423 16:33:38'
'518', 'Central', '1', '20210423 16:33:22'
'519', 'Davis', '5', '20210423 16:33:22'
'504', 'Washington/Wells', '5', '20210423 16:34:36'
'506', 'Armitage', '1', '20210423 16:34:11'
'508', 'Armitage', '5', '20210423 16:34:26'
'515', 'Wilson', '1', '20210423 16:34:31'
'518', 'Linden', '1', '20210423 16:33:50'
'519', 'Davis', '5', '20210423 16:34:38'
'504', 'Merchandise Mart', '1', '20210423 16:35:38'
'518', 'Linden', '1', '20210423 16:35:06'
'519', 'Davis', '5', '20210423 16:34:38'
'504', 'Merchandise Mart', '1', '20210423 16:35:46'
'506', 'Fullerton', '1', '20210423 16:36:35'
'507', 'Clark/Lake', '5', '20210423 16:35:51'
'507', 'Clark/Lake', '5', '20210423 16:37:39'
'508', 'Sedgwick', '5', '20210423 16:37:11'
'519', 'Main', '5', '20210423 16:37:33'
'504', 'Chicago', '1', '20210423 16:38:37'
'506', 'Diversey', '1', '20210423 16:38:29'
'507', 'State/Lake', '5', '20210423 16:38:08'
'519', 'Main', '5', '20210423 16:38:30'
'504', 'Chicago', '1', '20210423 16:39:38'
'509', 'Belmont', '5', '20210423 16:38:49'
'516', 'Wilson', '5', '20210423 16:39:38'
'519', 'South Boulevard', '5', '20210423 16:39:25'
'506', 'Wellington', '1', '20210423 16:40:27'
'507', 'Adams/Wabash', '5', '20210423 16:40:33'
'508', 'Chicago', '5', '20210423 16:40:36'
'509', 'Wellington', '5', '20210423 16:40:33'
'516', 'Wilson', '5', '20210423 16:40:31'
'519', 'Howard', '5', '20210423 16:40:05'
'506', 'Belmont', '1', '20210423 16:41:38'
'507', 'Adams/Wabash', '5', '20210423 16:41:39'
'509', 'Wellington', '5', '20210423 16:41:20'
'504', 'Sedgwick', '1', '20210423 16:42:37'
'506', 'Belmont', '1', '20210423 16:41:38'
'507', 'Harold Washington Library-State/Van Buren', '5', '20210423 16:42:38'
'508', 'Merchandise Mart', '5', '20210423 16:42:34'
'509', 'Diversey', '5', '20210423 16:42:12'
'512', 'Davis', '5', '20210423 16:42:29'
'507', 'Harold Washington Library-State/Van Buren', '5', '20210423 16:42:57'
'509', 'Fullerton', '5', '20210423 16:43:27'
'512', 'Davis', '5', '20210423 16:43:12'
'507', 'LaSalle/Van Buren', '5', '20210423 16:44:37'
'509', 'Fullerton', '5', '20210423 16:44:31'
'512', 'Davis', '5', '20210423 16:43:46'
'504', 'Armitage', '1', '20210423 16:45:21'
'507', 'LaSalle/Van Buren', '5', '20210423 16:45:14'
'508', 'Clark/Lake', '5', '20210423 16:45:32'
'509', 'Armitage', '5', '20210423 16:45:39'
'504', 'Armitage', '1', '20210423 16:46:38'
'507', 'Quincy', '5', '20210423 16:46:17'
'508', 'State/Lake', '5', '20210423 16:46:29'
'512', 'Main', '5', '20210423 16:46:30'
'515', 'South Boulevard', '1', '20210423 16:46:38'
'516', 'Belmont', '5', '20210423 16:46:37'
'507', 'Washington/Wells', '5', '20210423 16:47:35'
'512', 'Main', '5', '20210423 16:47:38'
'515', 'Main', '1', '20210423 16:47:18'
'516', 'Wellington', '5', '20210423 16:47:36'
'507', 'Washington/Wells', '5', '20210423 16:48:30'
'508', 'Washington/Wabash', '5', '20210423 16:48:26'
'512', 'South Boulevard', '5', '20210423 16:48:29'
'515', 'Main', '1', '20210423 16:48:16'
'516', 'Wellington', '5', '20210423 16:48:23'
'519', 'Wilson', '5', '20210423 16:48:31'
'504', 'Diversey', '1', '20210423 16:49:35'
'508', 'Adams/Wabash', '5', '20210423 16:49:20'
'509', 'Sedgwick', '5', '20210423 16:49:34'
'512', 'Howard', '5', '20210423 16:49:10'
'515', 'Dempster', '1', '20210423 16:48:42'
'516', 'Diversey', '5', '20210423 16:49:17'
'519', 'Wilson', '5', '20210423 16:49:39'
'504', 'Diversey', '1', '20210423 16:50:28'
'507', 'Merchandise Mart', '1', '20210423 16:50:21'
'516', 'Fullerton', '5', '20210423 16:50:32'
'508', 'Harold Washington Library-State/Van Buren', '5', '20210423 16:51:26'
'516', 'Fullerton', '5', '20210423 16:51:37'
'504', 'Belmont', '1', '20210423 16:52:28'
'507', 'Chicago', '1', '20210423 16:52:34'
'508', 'LaSalle/Van Buren', '5', '20210423 16:52:05'
'509', 'Chicago', '5', '20210423 16:52:28'
'515', 'Foster', '1', '20210423 16:52:20'
'516', 'Armitage', '5', '20210423 16:52:29'
'508', 'LaSalle/Van Buren', '5', '20210423 16:53:31'
'514', 'Central', '5', '20210423 16:53:18'
'515', 'Noyes', '1', '20210423 16:52:42'
