['501', 'Chicago', '0', '5', '20210514 06:16:34']
['502', 'Belmont', '1', '1', '20210514 06:15:21']
['503', 'Chicago', '0', '1', '20210514 06:16:28']
['504', 'Wellington', '1', '5', '20210514 06:15:19']
['506', 'South Boulevard', '1', '5', '20210514 06:15:25']
['509', 'Linden', '1', '1', '20210514 06:15:05']
['501', 'Chicago', '1', '5', '20210514 06:16:39']
['503', 'Chicago', '1', '1', '20210514 06:16:35']
['504', 'Fullerton', '0', '5', '20210514 06:17:40']
['506', 'Howard', '1', '5', '20210514 06:16:08']
['501', 'Chicago', '1', '5', '20210514 06:17:28']
['503', 'Chicago', '1', '1', '20210514 06:17:36']
['504', 'Fullerton', '1', '5', '20210514 06:17:22']
['506', 'Wilson', '0', '5', '20210514 06:25:29']
['501', 'Merchandise Mart', '0', '5', '20210514 06:19:17']
['503', 'Sedgwick', '0', '1', '20210514 06:19:23']
['504', 'Armitage', '0', '5', '20210514 06:19:35']
['506', 'Wilson', '0', '5', '20210514 06:24:57']
['501', 'Merchandise Mart', '1', '5', '20210514 06:19:08']
['503', 'Sedgwick', '1', '1', '20210514 06:19:33']
['504', 'Armitage', '1', '5', '20210514 06:19:33']
['506', 'Wilson', '0', '5', '20210514 06:24:57']
['508', 'Central', '1', '5', '20210514 06:19:36']
['501', 'Clark/Lake', '0', '5', '20210514 06:21:06']
['503', 'Sedgwick', '1', '1', '20210514 06:20:35']
['504', 'Sedgwick', '0', '5', '20210514 06:22:38']
['506', 'Wilson', '0', '5', '20210514 06:24:57']
['508', 'Central', '1', '5', '20210514 06:20:28']
['510', 'South Boulevard', '1', '1', '20210514 06:20:14']
['501', 'Clark/Lake', '1', '5', '20210514 06:21:27']
['503', 'Armitage', '0', '1', '20210514 06:23:08']
['504', 'Sedgwick', '0', '5', '20210514 06:22:29']
['506', 'Wilson', '0', '5', '20210514 06:26:09']
['508', 'Davis', '0', '5', '20210514 06:23:18']
['510', 'Main', '1', '1', '20210514 06:20:50']
['501', 'State/Lake', '1', '5', '20210514 06:22:18']
['502', 'Wilson', '1', '1', '20210514 06:22:26']
['503', 'Armitage', '0', '1', '20210514 06:23:19']
['504', 'Sedgwick', '1', '5', '20210514 06:22:36']
['506', 'Wilson', '0', '5', '20210514 06:26:27']
['508', 'Davis', '0', '5', '20210514 06:23:18']
['510', 'Dempster', '1', '1', '20210514 06:22:13']
['501', 'Adams/Wabash', '0', '5', '20210514 06:24:22']
['502', 'Howard', '0', '1', '20210514 06:32:45']
['503', 'Armitage', '1', '1', '20210514 06:23:38']
['504', 'Sedgwick', '1', '5', '20210514 06:23:24']
['506', 'Wilson', '0', '5', '20210514 06:24:36']
['508', 'Davis', '1', '5', '20210514 06:23:31']
['510', 'Davis', '0', '1', '20210514 06:24:31']
['501', 'Adams/Wabash', '1', '5', '20210514 06:24:38']
['502', 'Howard', '0', '1', '20210514 06:32:45']
['503', 'Armitage', '1', '1', '20210514 06:24:34']
['504', 'Chicago', '0', '5', '20210514 06:25:53']
['506', 'Wilson', '1', '5', '20210514 06:24:32']
['508', 'Davis', '1', '5', '20210514 06:24:28']
['510', 'Foster', '0', '1', '20210514 06:25:37']
['501', 'Adams/Wabash', '1', '5', '20210514 06:25:39']
['502', 'Howard', '0', '1', '20210514 06:33:07']
['503', 'Fullerton', '1', '1', '20210514 06:25:40']
['504', 'Chicago', '0', '5', '20210514 06:26:18']
['506', 'Wilson', '1', '5', '20210514 06:25:34']
['508', 'Davis', '1', '5', '20210514 06:25:37']
['510', 'Foster', '0', '1', '20210514 06:25:37']
['501', 'Harold Washington Library-State/Van Buren', '1', '5', '20210514 06:26:37']
['502', 'Howard', '0', '1', '20210514 06:32:16']
['503', 'Diversey', '0', '1', '20210514 06:27:29']
['504', 'Chicago', '1', '5', '20210514 06:26:26']
['506', 'Sheridan', '0', '5', '20210514 06:27:58']
['508', 'Davis', '1', '5', '20210514 06:25:37']
['510', 'Noyes', '1', '1', '20210514 06:26:05']
['501', 'LaSalle/Van Buren', '1', '5', '20210514 06:27:28']
['502', 'Howard', '0', '1', '20210514 06:32:23']
['503', 'Diversey', '1', '1', '20210514 06:27:29']
['504', 'Merchandise Mart', '0', '5', '20210514 06:28:29']
['506', 'Sheridan', '0', '5', '20210514 06:28:33']
['508', 'Dempster', '0', '5', '20210514 06:27:52']
['510', 'Central', '0', '1', '20210514 06:28:06']
['501', 'Quincy', '1', '5', '20210514 06:28:33']
['502', 'South Boulevard', '0', '1', '20210514 06:33:00']
['503', 'Diversey', '1', '1', '20210514 06:28:23']
['504', 'Merchandise Mart', '1', '5', '20210514 06:28:17']
