['511', 'Washington/Wabash', '5', '20210511 07:45:40']
['514', 'Howard', '5', '20210511 07:45:33']
['503', 'Fullerton', '5', '20210511 07:46:32']
['504', 'Davis', '5', '20210511 07:46:32']
['510', 'Merchandise Mart', '1', '20210511 07:46:37']
['511', 'Adams/Wabash', '5', '20210511 07:46:35']
['512', 'Chicago', '5', '20210511 07:46:39']
['513', 'Sheridan', '5', '20210511 07:46:29']
['514', 'Howard', '5', '20210511 07:46:37']
['503', 'Armitage', '5', '20210511 07:47:37']
['504', 'Davis', '5', '20210511 07:47:27']
['506', 'Noyes', '1', '20210511 07:47:05']
['513', 'Sheridan', '5', '20210511 07:47:32']
['504', 'Davis', '5', '20210511 07:48:34']
['510', 'Chicago', '1', '20210511 07:48:23']
['511', 'Harold Washington Library-State/Van Buren', '5', '20210511 07:48:37']
['512', 'Merchandise Mart', '5', '20210511 07:48:16']
['506', 'Central', '1', '20210511 07:49:23']
['511', 'LaSalle/Van Buren', '5', '20210511 07:49:29']
['513', 'Belmont', '5', '20210511 07:49:34']
['504', 'Main', '5', '20210511 07:50:16']
['508', 'South Boulevard', '1', '20210511 07:50:21']
['511', 'Quincy', '5', '20210511 07:50:36']
['513', 'Wellington', '5', '20210511 07:50:35']
