['508', 'Central', '1', '1', '20210514 15:06:33']
['513', 'Merchandise Mart', '0', '1', '20210514 15:07:19']
['514', 'Merchandise Mart', '0', '5', '20210514 15:07:24']
['515', 'Sedgwick', '0', '5', '20210514 15:07:28']
['518', 'South Boulevard', '1', '5', '20210514 15:06:15']
['519', 'Sheridan', '0', '5', '20210514 15:07:21']
['508', 'Linden', '0', '1', '20210514 15:07:40']
['513', 'Merchandise Mart', '1', '1', '20210514 15:06:59']
['514', 'Merchandise Mart', '1', '5', '20210514 15:07:34']
['515', 'Sedgwick', '0', '5', '20210514 15:08:06']
['518', 'Howard', '1', '5', '20210514 15:06:59']
['519', 'Sheridan', '1', '5', '20210514 15:07:34']
['508', 'Linden', '1', '1', '20210514 15:07:50']
['513', 'Chicago', '0', '1', '20210514 15:09:07']
['514', 'Clark/Lake', '0', '5', '20210514 15:10:29']
['515', 'Sedgwick', '1', '5', '20210514 15:08:34']
['518', 'Wilson', '0', '5', '20210514 15:17:15']
['519', 'Sheridan', '1', '5', '20210514 15:08:34']
['520', 'Central', '1', '5', '20210514 15:08:39']
['513', 'Chicago', '1', '1', '20210514 15:09:20']
['514', 'Clark/Lake', '0', '5', '20210514 15:10:29']
['515', 'Chicago', '0', '5', '20210514 15:11:04']
['518', 'Wilson', '0', '5', '20210514 15:17:41']
['519', 'Belmont', '0', '5', '20210514 15:11:15']
['520', 'Davis', '0', '5', '20210514 15:10:31']
['513', 'Sedgwick', '0', '1', '20210514 15:12:22']
['514', 'State/Lake', '1', '5', '20210514 15:10:29']
['515', 'Chicago', '1', '5', '20210514 15:10:51']
['518', 'Wilson', '0', '5', '20210514 15:17:41']
['519', 'Belmont', '1', '5', '20210514 15:10:34']
['520', 'Davis', '0', '5', '20210514 15:10:31']
['513', 'Sedgwick', '0', '1', '20210514 15:12:39']
['514', 'State/Lake', '1', '5', '20210514 15:11:31']
['515', 'Chicago', '1', '5', '20210514 15:11:21']
['518', 'Wilson', '0', '5', '20210514 15:17:41']
['519', 'Wellington', '1', '5', '20210514 15:11:36']
['520', 'Davis', '1', '5', '20210514 15:11:40']
['507', 'South Boulevard', '1', '1', '20210514 15:12:15']
['513', 'Sedgwick', '1', '1', '20210514 15:12:36']
['514', 'Washington/Wabash', '1', '5', '20210514 15:12:19']
['515', 'Merchandise Mart', '0', '5', '20210514 15:13:33']
['518', 'Wilson', '0', '5', '20210514 15:17:23']
['519', 'Wellington', '1', '5', '20210514 15:12:24']
['520', 'Davis', '1', '5', '20210514 15:12:14']
['507', 'Main', '0', '1', '20210514 15:13:50']
['513', 'Sedgwick', '1', '1', '20210514 15:13:33']
['514', 'Adams/Wabash', '1', '5', '20210514 15:13:16']
['515', 'Merchandise Mart', '1', '5', '20210514 15:13:22']
['518', 'Wilson', '0', '5', '20210514 15:17:26']
['519', 'Diversey', '1', '5', '20210514 15:13:14']
['520', 'Davis', '1', '5', '20210514 15:12:54']
['507', 'Dempster', '1', '1', '20210514 15:14:19']
