'506', 'Chicago', '1', '20210423 07:02:37'
'507', 'Fullerton', '5', '20210423 07:02:12'
'509', 'Central', '5', '20210423 07:03:35'
'504', 'Clark/Lake', '5', '20210423 07:04:21'
'506', 'Sedgwick', '1', '20210423 07:04:37'
'507', 'Armitage', '5', '20210423 07:04:37'
'504', 'State/Lake', '5', '20210423 07:05:11'
'506', 'Sedgwick', '1', '20210423 07:05:38'
'501', 'Main', '1', '20210423 07:06:28'
'509', 'Davis', '5', '20210423 07:06:20'
'501', 'Main', '1', '20210423 07:07:30'
'504', 'Adams/Wabash', '5', '20210423 07:07:38'
'507', 'Sedgwick', '5', '20210423 07:07:27'
'509', 'Davis', '5', '20210423 07:07:02'
'506', 'Armitage', '1', '20210423 07:08:18'
'508', 'Wilson', '5', '20210423 07:08:35'
'509', 'Davis', '5', '20210423 07:07:44'
'504', 'Harold Washington Library-State/Van Buren', '5', '20210423 07:09:36'
'506', 'Armitage', '1', '20210423 07:09:38'
'508', 'Wilson', '5', '20210423 07:09:33'
'509', 'Dempster', '5', '20210423 07:09:15'
'504', 'LaSalle/Van Buren', '5', '20210423 07:10:17'
'506', 'Fullerton', '1', '20210423 07:10:38'
'507', 'Chicago', '5', '20210423 07:10:39'
'509', 'Dempster', '5', '20210423 07:09:15'
'504', 'Quincy', '5', '20210423 07:11:18'
'509', 'Main', '5', '20210423 07:10:56'
'501', 'Noyes', '1', '20210423 07:12:18'
'504', 'Quincy', '5', '20210423 07:12:32'
'506', 'Diversey', '1', '20210423 07:12:34'
'507', 'Merchandise Mart', '5', '20210423 07:12:39'
'509', 'South Boulevard', '5', '20210423 07:12:24'
'504', 'Washington/Wells', '5', '20210423 07:13:37'
'506', 'Diversey', '1', '20210423 07:13:27'
'507', 'Merchandise Mart', '5', '20210423 07:13:17'
'509', 'South Boulevard', '5', '20210423 07:12:55'
'501', 'Central', '1', '20210423 07:14:35'
'509', 'Howard', '5', '20210423 07:13:42'
'501', 'Linden', '1', '20210423 07:14:42'
'504', 'Merchandise Mart', '1', '20210423 07:15:18'
'506', 'Belmont', '1', '20210423 07:15:27'
'507', 'Clark/Lake', '5', '20210423 07:15:33'
'508', 'Belmont', '5', '20210423 07:15:36'
'501', 'Linden', '1', '20210423 07:16:05'
'502', 'South Boulevard', '1', '20210423 07:16:10'
'504', 'Merchandise Mart', '1', '20210423 07:15:18'
'507', 'State/Lake', '5', '20210423 07:16:27'
'508', 'Wellington', '5', '20210423 07:16:38'
'502', 'Main', '1', '20210423 07:17:21'
'504', 'Merchandise Mart', '1', '20210423 07:17:33'
'507', 'Washington/Wabash', '5', '20210423 07:17:35'
'508', 'Diversey', '5', '20210423 07:17:30'
'502', 'Main', '1', '20210423 07:18:16'
'507', 'Adams/Wabash', '5', '20210423 07:18:19'
'502', 'Dempster', '1', '20210423 07:19:38'
'504', 'Chicago', '1', '20210423 07:19:20'
'507', 'Harold Washington Library-State/Van Buren', '5', '20210423 07:19:34'
'508', 'Fullerton', '5', '20210423 07:19:38'
'503', 'Davis', '5', '20210423 07:20:15'
'507', 'LaSalle/Van Buren', '5', '20210423 07:20:39'
'508', 'Armitage', '5', '20210423 07:20:31'
'503', 'Davis', '5', '20210423 07:20:56'
'507', 'Quincy', '5', '20210423 07:21:32'
'502', 'Foster', '1', '20210423 07:22:22'
'503', 'Dempster', '5', '20210423 07:22:14'
'504', 'Sedgwick', '1', '20210423 07:22:29'
'507', 'Quincy', '5', '20210423 07:22:38'
'503', 'Main', '5', '20210423 07:23:34'
'504', 'Sedgwick', '1', '20210423 07:23:35'
'507', 'Washington/Wells', '5', '20210423 07:23:38'
'502', 'Central', '1', '20210423 07:24:27'
'503', 'Main', '5', '20210423 07:23:47'
'508', 'Sedgwick', '5', '20210423 07:24:33'
'509', 'Wilson', '5', '20210423 07:24:24'
'502', 'Linden', '1', '20210423 07:24:55'
'503', 'South Boulevard', '5', '20210423 07:25:36'
'502', 'Linden', '1', '20210423 07:26:26'
'503', 'Howard', '5', '20210423 07:26:16'
'504', 'Armitage', '1', '20210423 07:26:33'
'507', 'Merchandise Mart', '1', '20210423 07:25:53'
'508', 'Chicago', '5', '20210423 07:26:35'
'502', 'Linden', '1', '20210423 07:27:39'
'507', 'Merchandise Mart', '1', '20210423 07:25:53'
'508', 'Chicago', '5', '20210423 07:27:33'
'504', 'Fullerton', '1', '20210423 07:28:29'
'508', 'Merchandise Mart', '5', '20210423 07:29:36'
'504', 'Diversey', '1', '20210423 07:30:40'
'507', 'Chicago', '1', '20210423 07:30:37'
